Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,27.185526315789485,44.775,0.5,936.60546875,990.84765625,646.3515625,1734.3832347972973,2231.6328125,1628.87109375
2,43.49642857142859,48.7,28.225,1077.8545386904761,1087.26171875,1012.05859375,1325.2103794642858,1439.46484375,1310.73828125
3,29.199999999999996,46.95,0.0,1125.2239900914635,1129.26953125,1101.578125,1168.4450266768292,1205.50390625,1129.14453125
4,37.80984848484849,52.2,12.725,1183.3132102272727,1233.25,1136.2578125,954.9821259469697,1137.08203125,899.92578125
5,27.552439024390246,48.7,0.0,1239.1221417682927,1239.484375,1233.21484375,879.4876143292682,913.0859375,865.3515625
6,39.54318181818183,47.9,1.0,1231.096912202381,1231.359375,1230.72265625,871.8815104166666,896.95703125,862.99609375
7,42.75394736842106,47.95,34.2,1238.3392269736842,1238.40234375,1238.140625,912.2847450657895,935.58984375,844.54296875
8,40.41750000000001,46.95,0.0,1238.4197265625,1238.4609375,1238.3046875,918.6083984375,923.90234375,913.88671875
9,37.48000000000001,49.425,2.75,1238.4928385416667,1238.55078125,1238.375,824.865625,857.9140625,810.76953125
10,41.72065217391305,47.95,29.575,1253.776664402174,1254.64453125,1245.03125,786.3853600543479,804.171875,784.0390625
11,33.26190476190476,47.2,0.0,1261.7842261904761,1262.22265625,1254.578125,783.9933035714286,821.2265625,765.76953125
12,34.57142857142858,47.1,0.0,1262.1514136904761,1262.17578125,1262.12109375,764.7697172619048,772.3828125,749.7109375
13,34.97500000000001,47.95,0.0,1262.2857142857142,1262.390625,1262.078125,760.5483630952381,774.95703125,754.7421875
14,42.623611111111124,47.2,19.725,1248.4563802083333,1248.51171875,1248.34375,773.3003472222222,791.6328125,761.83203125
15,41.690000000000005,47.425,7.0,1255.64140625,1255.75390625,1255.23046875,762.67578125,777.83203125,746.8828125
