Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.67,0.541,26.33,"[1, 99, 0, 200]",0.7793,0.67,300
2,0.3333,0.1667,25.23,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.5533,0.5399,26.09,"[94, 6, 128, 72]",0.7565,0.5533,300
4,0.3333,0.1667,25.27,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,22.49,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,22.09,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,23.44,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.7933,0.7859,23.09,"[58, 42, 20, 180]",0.7884,0.7933,300
9,0.8567,0.8448,23.66,"[58, 42, 1, 199]",0.8782,0.8567,300
10,0.7067,0.7149,25.29,"[77, 23, 65, 135]",0.7504,0.7067,300
11,0.86,0.8497,28.24,"[60, 40, 2, 198]",0.8772,0.86,300
12,0.86,0.848,24.27,"[58, 42, 0, 200]",0.8843,0.86,300
13,0.8733,0.864,25.26,"[62, 38, 0, 200]",0.8936,0.8733,300
14,0.89,0.8833,22.05,"[67, 33, 0, 200]",0.9056,0.89,300
15,0.8433,0.8374,25.47,"[65, 35, 12, 188]",0.8434,0.8433,300
16,0.9067,0.9044,26.57,"[78, 22, 6, 194]",0.9083,0.9067,300
