Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.639423076923066,48.425,25.075,924.3913762019231,984.6953125,647.9453125,1912.4858774038462,2439.3984375,1791.5390625
2,37.35326086956523,48.15,0.0,1032.5929008152175,1037.31640625,999.0625,1459.1275475543478,1528.69140625,1444.74609375
3,43.173863636363656,49.2,17.475,1070.4817116477273,1075.07421875,1046.7890625,1368.0385298295455,1408.296875,1364.1953125
4,43.20238095238096,49.2,9.975,1138.388950892857,1210.3203125,1078.0390625,1205.298363095238,1328.64453125,1115.2578125
5,42.997499999999995,47.675,4.25,1223.1490234375,1231.80859375,1205.53125,1018.55078125,1106.3515625,1001.50390625
6,44.880952380952394,48.675,33.95,1226.7481398809523,1227.015625,1224.42578125,1000.7139136904761,1008.69921875,991.15625
7,25.319047619047627,50.4,0.0,1217.6370907738096,1220.36328125,1216.36328125,1027.7344680059523,1038.296875,1018.83203125
8,40.081,50.7,0.0,1232.4865625,1232.6015625,1230.51953125,998.00125,1009.80859375,991.90625
9,43.34875000000001,52.425,24.725,1232.905078125,1234.87890625,1230.51953125,937.4712890625,942.21875,935.6875
10,43.27857142857144,50.2,5.25,1239.768787202381,1240.26953125,1230.81640625,885.2522321428571,913.96484375,881.73046875
11,43.60227272727274,49.95,20.475,1247.9454900568182,1249.4921875,1238.21875,859.1006747159091,866.76953125,855.28125
12,45.29375000000001,48.925,35.95,1249.60546875,1249.73046875,1247.66796875,822.1453125,839.625,805.890625
13,29.46280487804879,49.2,0.0,1249.2186547256097,1251.84765625,1247.63671875,811.3673780487804,833.3046875,801.03125
14,43.32916666666667,52.225,6.475,1249.7220052083333,1249.82421875,1247.77734375,815.4998372395834,856.578125,809.3828125
15,44.060227272727275,47.95,36.225,1256.6187855113637,1258.63671875,1254.3359375,809.869140625,817.59765625,806.60546875
16,44.491666666666674,49.725,37.2,1256.5961371527778,1258.6015625,1254.5546875,811.7858072916666,820.97265625,808.07421875
17,41.86785714285715,46.95,0.0,1256.3660714285713,1256.58203125,1254.51953125,806.3984375,808.28515625,801.93359375
18,44.78750000000001,48.7,28.975,1263.57890625,1265.53125,1261.53125,802.0083984375,808.82421875,800.0625
19,41.85234375,52.675,14.225,1242.5140380859375,1242.6015625,1240.5390625,816.2198486328125,823.61328125,811.25
20,41.23148148148149,50.075,13.725,1256.765625,1256.91015625,1254.63671875,802.3178530092592,805.9453125,794.9375
21,27.0439024390244,48.7,0.0,1256.0604039634147,1256.875,1254.80859375,800.928163109756,809.109375,794.1875
22,43.02083333333335,50.5,25.975,1256.80810546875,1258.7734375,1254.7734375,805.9609375,816.52734375,797.6484375
23,27.751136363636366,46.45,13.225,1256.7786754261363,1258.78125,1254.73828125,804.9021661931819,822.11328125,781.2265625
24,40.45803571428572,48.95,8.5,1263.7611607142858,1265.72265625,1261.72265625,722.2360491071429,748.5625,710.17578125
25,22.429166666666674,50.45,0.0,1248.883277529762,1249.9609375,1247.53515625,679.7371651785714,711.9375,650.4921875
26,43.85125000000001,51.2,31.475,1259.348046875,1259.56640625,1257.328125,648.91171875,664.734375,644.81640625
27,21.181547619047628,48.45,0.0,1262.8770461309523,1263.93359375,1261.73046875,715.7653459821429,785.98046875,648.03515625
28,36.2904761904762,48.45,0.0,1263.3965773809523,1263.90234375,1261.8359375,790.8856026785714,815.03125,709.3984375
29,42.714130434782625,47.45,32.3,1264.167629076087,1266.09765625,1261.796875,695.6677989130435,714.58203125,662.8828125
30,39.529,46.5,23.475,1264.2353125,1266.2890625,1262.015625,664.58984375,687.26171875,647.6171875
31,43.10125000000001,49.45,12.975,1264.146484375,1264.2734375,1262.203125,672.4728515625,708.3671875,648.92578125
32,38.83095238095239,47.95,0.0,1264.2003348214287,1266.44140625,1262.1796875,680.4534970238095,689.09765625,677.44921875
33,42.76000000000001,50.85,5.0,1264.47640625,1264.6171875,1262.36328125,731.77875,739.87109375,718.9140625
34,40.90108695652175,50.2,31.225,1264.5444972826087,1264.6875,1262.51953125,635.1401154891304,685.78515625,604.9296875
35,41.60535714285715,52.675,11.725,1247.4652622767858,1247.56640625,1245.4921875,624.7177734375,632.7890625,604.703125
36,23.04756097560977,49.175,0.0,1267.6979801829268,1268.5078125,1266.4296875,616.1604420731708,681.7734375,586.7890625
37,43.02261904761906,48.7,4.0,1268.4544270833333,1270.44921875,1266.4140625,620.5262276785714,625.30859375,617.5078125
38,25.41646341463415,47.7,0.0,1342.0475419207316,1344.8359375,1266.3828125,550.0666920731708,609.015625,542.35546875
39,28.28869047619049,52.175,0.0,1342.8950892857142,1343.03125,1342.75390625,584.4197358630952,620.1171875,524.81640625
40,40.354761904761915,57.925,13.225,1348.199962797619,1348.31640625,1346.234375,602.5293898809524,637.3359375,588.7734375
