Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7267,0.7291,48.13,"[63, 37, 45, 155]",0.7326,0.7267,300
2,0.3333,0.1667,25.05,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,42.08,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,22.05,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,22.05,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,22.04,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3367,0.1737,43.1,"[100, 0, 199, 1]",0.7781,0.3367,300
8,0.35,0.2013,44.08,"[100, 0, 195, 5]",0.7797,0.35,300
9,0.4533,0.3865,23.05,"[100, 0, 164, 36]",0.7929,0.4533,300
10,0.7533,0.7599,23.04,"[81, 19, 55, 145]",0.788,0.7533,300
11,0.7467,0.7533,28.05,"[79, 21, 55, 145]",0.7788,0.7467,300
12,0.8467,0.8486,23.04,"[83, 17, 29, 171]",0.8534,0.8467,300
13,0.9067,0.9029,43.14,"[74, 26, 2, 198]",0.9138,0.9067,300
14,0.9333,0.9317,43.09,"[82, 18, 2, 198]",0.9365,0.9333,300
15,0.9133,0.9121,43.09,"[82, 18, 8, 192]",0.9132,0.9133,300
16,0.92,0.9196,20.04,"[86, 14, 10, 190]",0.9195,0.92,300
17,0.9167,0.9142,22.05,"[78, 22, 3, 197]",0.9207,0.9167,300
18,0.8533,0.8399,23.06,"[56, 44, 0, 200]",0.8798,0.8533,300
19,0.9167,0.9132,44.15,"[75, 25, 0, 200]",0.9259,0.9167,300
20,0.83,0.8345,29.13,"[92, 8, 43, 157]",0.8615,0.83,300
21,0.9267,0.9265,44.3,"[88, 12, 10, 190]",0.9264,0.9267,300
22,0.9167,0.9135,26.05,"[76, 24, 1, 199]",0.9239,0.9167,300
23,0.92,0.9189,88.6,"[83, 17, 7, 193]",0.9201,0.92,300
24,0.8433,0.8439,31.06,"[78, 22, 25, 175]",0.8446,0.8433,300
25,0.93,0.9279,44.09,"[80, 20, 1, 199]",0.935,0.93,300
26,0.9167,0.917,21.03,"[89, 11, 14, 186]",0.9175,0.9167,300
27,0.8767,0.8793,43.1,"[93, 7, 30, 170]",0.8923,0.8767,300
28,0.94,0.9393,22.04,"[87, 13, 5, 195]",0.9402,0.94,300
29,0.9267,0.9249,25.1,"[81, 19, 3, 197]",0.9295,0.9267,300
30,0.93,0.9293,27.08,"[86, 14, 7, 193]",0.9298,0.93,300
31,0.8,0.7702,22.04,"[40, 60, 0, 200]",0.8462,0.8,300
32,0.81,0.8151,23.04,"[90, 10, 47, 153]",0.8447,0.81,300
33,0.9,0.8964,27.08,"[74, 26, 4, 196]",0.9048,0.9,300
34,0.7567,0.7623,26.05,"[99, 1, 72, 128]",0.8545,0.7567,300
35,0.8933,0.8952,44.1,"[93, 7, 25, 175]",0.9037,0.8933,300
36,0.9267,0.9246,42.12,"[80, 20, 2, 198]",0.9307,0.9267,300
37,0.9367,0.9348,23.04,"[81, 19, 0, 200]",0.9422,0.9367,300
38,0.9533,0.9524,43.1,"[86, 14, 0, 200]",0.9564,0.9533,300
39,0.9467,0.9456,44.25,"[85, 15, 1, 199]",0.9494,0.9467,300
40,0.9467,0.9454,23.05,"[84, 16, 0, 200]",0.9506,0.9467,300
