Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,34.6423076923077,45.45,24.35,1093.3832632211538,1157.25390625,801.27734375,2288.767578125,2860.3359375,2120.59375
2,40.77031250000001,45.925,5.0,1460.00048828125,1469.72265625,1387.203125,1113.962646484375,1191.78515625,1103.80859375
3,38.85833333333334,46.2,14.975,1476.61767578125,1476.63671875,1476.578125,969.8834635416666,1008.40234375,952.03125
4,42.873750000000015,47.975,10.25,1500.3224609375,1518.18359375,1480.8671875,819.8373046875,892.56640625,730.6953125
5,42.90526315789475,52.7,21.725,1599.4603207236842,1609.25,1521.21484375,658.8935032894736,742.1953125,647.765625
6,22.297619047619058,49.95,0.0,1594.2900855654761,1594.96875,1586.54296875,670.4130394345239,716.2578125,580.1875
7,43.25625000000001,49.2,18.475,1595.90087890625,1595.921875,1595.8671875,743.955810546875,750.0625,738.9453125
8,36.48095238095239,47.95,0.0,1601.4520089285713,1601.4765625,1601.421875,692.7892485119048,708.49609375,632.54296875
9,36.188095238095244,48.45,0.0,1596.219494047619,1596.3359375,1596.03125,593.5243675595239,611.8515625,533.61328125
10,38.29375000000002,46.2,27.1,1592.8751627604167,1592.8984375,1592.8515625,631.6243489583334,660.7109375,602.48828125
11,20.325000000000003,48.925,0.0,1596.6920421511627,1597.9453125,1590.89453125,575.0567768895348,648.7109375,502.76171875
