Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,52.52,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,22.59,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.6767,0.556,27.31,"[3, 97, 0, 200]",0.7823,0.6767,300
4,0.68,0.5633,31.41,"[4, 96, 0, 200]",0.7838,0.68,300
5,0.6667,0.5333,27.67,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.6667,0.5333,26.37,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,35.62,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,28.59,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,27.59,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.8867,0.8817,28.81,"[70, 30, 4, 196]",0.8935,0.8867,300
11,0.89,0.8858,30.27,"[72, 28, 5, 195]",0.8946,0.89,300
12,0.8933,0.8871,34.42,"[68, 32, 0, 200]",0.908,0.8933,300
13,0.8767,0.8698,50.49,"[66, 34, 3, 197]",0.8874,0.8767,300
14,0.9167,0.9173,26.29,"[91, 9, 16, 184]",0.9191,0.9167,300
