Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,33.52500000000001,47.95,0.0,1059.7100883152175,1108.78125,760.078125,2619.515285326087,3187.7265625,2378.62109375
2,41.973611111111126,47.2,23.475,1368.2801649305557,1372.890625,1331.1484375,1548.9058159722222,1615.9140625,1532.87109375
3,38.880434782608695,48.825,5.5,1380.5584239130435,1382.48828125,1378.41796875,1396.3058763586957,1419.94140625,1384.83984375
4,37.94523809523811,49.95,0.0,1501.3588169642858,1520.84765625,1383.296875,1172.4713541666667,1400.7109375,996.58203125
5,44.53375000000001,47.7,26.475,1521.5384765625,1521.56640625,1521.49609375,1053.4201171875,1065.23828125,1047.8984375
6,43.12750000000001,48.95,0.0,1528.1529296875,1530.41796875,1522.171875,1037.0076171875,1042.48828125,1031.99609375
7,45.264473684210536,47.95,35.45,1530.2181332236842,1530.2421875,1530.17578125,1047.3920641447369,1052.94921875,1038.7109375
8,39.93452380952382,48.7,0.0,1535.3091517857142,1535.3359375,1535.26953125,1029.0009300595239,1039.69921875,988.265625
9,45.26973684210528,49.7,37.45,1535.4728618421052,1537.328125,1535.328125,954.3275082236842,963.77734375,948.94140625
10,38.63095238095239,48.95,0.0,1534.5072544642858,1534.5390625,1534.46875,934.3470982142857,945.4140625,890.1796875
11,44.53214285714287,50.45,25.1,1534.580543154762,1534.60546875,1534.54296875,930.8111979166666,944.3671875,924.50390625
12,44.066666666666684,47.95,20.225,1535.3723958333333,1535.4453125,1535.2578125,860.2332589285714,860.9921875,859.55859375
13,43.30000000000002,47.95,8.975,1536.0,1536.11328125,1535.3671875,855.4369140625,858.171875,853.578125
