Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,29.86,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.61,0.6104,28.93,"[91, 9, 108, 92]",0.7597,0.61,300
3,0.5567,0.5455,26.88,"[93, 7, 126, 74]",0.7506,0.5567,300
4,0.3333,0.1667,27.16,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,26.47,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,25.21,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,24.12,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.48,0.4426,24.48,"[94, 6, 150, 50]",0.7237,0.48,300
9,0.5567,0.5494,52.12,"[90, 10, 123, 77]",0.7309,0.5567,300
10,0.8233,0.8117,31.56,"[56, 44, 9, 191]",0.829,0.8233,300
11,0.8967,0.8919,32.84,"[71, 29, 2, 198]",0.9057,0.8967,300
12,0.8967,0.8909,24.67,"[69, 31, 0, 200]",0.9105,0.8967,300
13,0.8967,0.8928,25.19,"[73, 27, 4, 196]",0.902,0.8967,300
14,0.9033,0.8997,27.45,"[74, 26, 3, 197]",0.9093,0.9033,300
15,0.89,0.8833,27.22,"[67, 33, 0, 200]",0.9056,0.89,300
16,0.89,0.8849,27.85,"[70, 30, 3, 197]",0.8982,0.89,300
17,0.5467,0.5216,26.88,"[100, 0, 136, 64]",0.8079,0.5467,300
18,0.9,0.9002,27.54,"[86, 14, 16, 184]",0.9006,0.9,300
