Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,32.57840909090908,49.675,0.0,1025.4731889204545,1059.06640625,731.0703125,2754.3481889204545,3326.49609375,2685.03515625
2,38.88928571428572,48.95,0.0,1311.7762276785713,1314.265625,1279.47265625,1684.005394345238,1757.515625,1593.59375
3,43.60277777777779,47.95,17.475,1346.2923177083333,1348.75390625,1322.6875,1488.4741753472222,1525.5546875,1477.4921875
4,36.88333333333334,47.6,0.0,1472.4715401785713,1482.33203125,1338.2734375,1196.7637648809523,1461.0859375,1177.75390625
5,43.65277777777779,46.95,36.7,1489.9854600694443,1490.1171875,1488.0546875,1071.8880208333333,1084.79296875,1068.40234375
6,43.46578947368421,47.925,10.75,1518.7368421052631,1519.94140625,1500.40234375,1057.1675575657894,1077.26171875,992.5859375
7,40.629761904761914,46.45,12.225,1521.9494047619048,1523.80078125,1519.80078125,1007.6605282738095,1034.6953125,982.4609375
8,43.155000000000015,50.2,21.725,1507.377734375,1507.40234375,1507.33984375,1030.526171875,1047.65234375,929.890625
9,39.72500000000001,48.45,0.0,1516.4600074404761,1516.58203125,1514.51953125,968.5212053571429,982.60546875,924.03515625
10,44.34736842105264,51.45,20.975,1507.0411184210527,1507.0625,1507.0,956.484375,969.91015625,954.11328125
11,37.100000000000016,48.2,10.75,1523.2120768229167,1524.0703125,1514.0078125,929.7919921875,966.30078125,883.84765625
12,34.67857142857143,48.45,0.0,1514.3076636904761,1516.24609375,1513.70703125,795.03125,807.546875,739.20703125
13,44.83157894736843,48.45,25.975,1513.1459703947369,1513.484375,1510.9921875,800.6942845394736,809.8515625,795.73046875
14,45.96052631578949,49.45,41.45,1509.220394736842,1511.12890625,1509.078125,786.0614720394736,794.47265625,737.08984375
15,42.828750000000014,48.2,0.25,1476.3212890625,1476.59375,1473.81640625,785.2951171875,793.9375,781.6796875
