Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7267,0.6836,26.35,"[28, 72, 10, 190]",0.7291,0.7267,300
2,0.63,0.6347,26.18,"[88, 12, 99, 101]",0.7527,0.63,300
3,0.38,0.2599,25.51,"[100, 0, 186, 14]",0.7832,0.38,300
4,0.35,0.2013,22.72,"[100, 0, 195, 5]",0.7797,0.35,300
5,0.3333,0.1667,22.35,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,25.36,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,22.2,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,23.11,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,23.1,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8733,0.8759,23.39,"[92, 8, 30, 170]",0.8881,0.8733,300
11,0.91,0.9105,27.22,"[89, 11, 16, 184]",0.9116,0.91,300
