Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,36.006250000000016,49.95,16.975,1067.3233642578125,1160.34375,801.59765625,2231.4002685546875,2778.57421875,2042.98046875
2,40.62619047619049,48.7,0.0,1418.923363095238,1421.3046875,1389.16796875,1065.416480654762,1136.9921875,989.51171875
3,39.572500000000005,47.45,17.225,1458.2064453125,1462.8046875,1438.76171875,799.1662109375,841.05078125,776.8671875
4,25.438095238095237,48.925,0.0,1578.591052827381,1610.98828125,1462.31640625,698.3598400297619,926.50390625,624.5390625
5,35.137500000000024,47.925,6.5,1562.8366608796296,1565.078125,1561.03515625,663.2133969907408,690.1796875,642.3671875
6,43.67045454545455,48.95,31.375,1562.4779829545455,1562.8125,1562.140625,654.6395596590909,662.203125,650.703125
7,23.052380952380958,48.2,0.0,1561.368396577381,1565.24609375,1561.24609375,612.9345238095239,645.05078125,505.578125
8,42.67125000000001,48.85,26.2,1561.494921875,1561.5234375,1561.44140625,591.9146484375,597.0390625,586.88671875
9,42.86447368421053,48.2,18.975,1560.799958881579,1562.7109375,1560.640625,547.4434621710526,570.4765625,541.83203125
10,41.68100000000001,59.925,5.25,1569.11359375,1572.7109375,1555.38671875,554.0084375,569.3359375,536.58984375
11,22.07784090909092,49.95,0.0,1580.737215909091,1585.34765625,1569.9375,504.779296875,613.71484375,423.83203125
12,38.55000000000001,48.2,0.0,1577.0072544642858,1578.91796875,1576.8671875,536.8889508928571,543.52734375,465.77734375
13,39.84285714285716,48.45,30.725,1576.197544642857,1576.31640625,1576.03515625,515.1443452380952,544.68359375,492.484375
14,34.17333333333335,47.2,1.0,1569.8075520833333,1571.703125,1569.6328125,555.0623697916667,594.3828125,523.46875
15,23.347023809523815,45.95,0.0,1560.647693452381,1562.64453125,1560.57421875,548.740234375,601.16015625,472.6875
16,42.12976190476191,48.675,4.25,1573.1369047619048,1575.06640625,1573.0,596.9810267857143,601.76953125,578.35546875
17,25.098255813953504,49.2,0.0,1558.6557957848838,1560.58984375,1558.53515625,604.8770893895348,634.34765625,518.91796875
18,21.08571428571429,48.95,0.0,1566.3541666666667,1568.30078125,1566.234375,550.9853980654761,591.9296875,479.08984375
19,42.6263888888889,48.45,4.25,1565.8422309027778,1567.96875,1565.5234375,603.6089409722222,607.9296875,599.9140625
20,31.75378787878788,50.925,10.75,1567.8528645833333,1571.5625,1567.5625,603.6897490530303,624.23046875,595.1875
21,24.124418604651172,56.325,0.0,1543.1570675872092,1543.203125,1543.13671875,615.7948764534884,641.28125,551.68359375
22,43.35729166666667,59.95,28.7,1546.16259765625,1549.78515625,1545.78515625,607.6181640625,616.3984375,602.8125
23,41.35113636363638,48.2,2.25,1543.9979538690477,1544.0234375,1543.95703125,634.7593005952381,641.15234375,629.98046875
24,42.69444444444445,48.15,29.725,1543.9622395833333,1547.69921875,1543.69921875,612.0625,616.66015625,607.63671875
25,41.197368421052644,47.95,2.25,1537.7900904605262,1541.43359375,1537.43359375,619.284333881579,624.25,615.12109375
26,42.842045454545456,62.625,22.975,1543.845703125,1545.6171875,1543.6171875,618.9435369318181,624.98046875,613.19921875
27,38.84107142857145,48.95,0.5,1541.418247767857,1543.2890625,1541.23828125,626.5984933035714,632.9765625,617.22265625
28,38.58928571428572,47.7,0.0,1541.8779761904761,1543.7890625,1541.7421875,597.9081101190476,604.3125,587.56640625
29,43.32065217391306,52.15,33.95,1541.4463315217392,1541.48046875,1541.14453125,567.2938179347826,574.21875,563.0859375
30,24.386627906976756,48.925,0.0,1534.8672783430231,1536.8359375,1534.7890625,546.2200218023256,586.03125,501.05859375
31,39.41818181818183,48.725,0.0,1525.298828125,1525.3515625,1525.19921875,569.5143821022727,574.6875,564.625
32,44.08157894736843,47.2,29.725,1532.8949424342106,1532.91796875,1532.8515625,552.4878700657895,558.04296875,547.59765625
33,43.59750000000001,48.7,34.225,1522.3658203125,1522.44140625,1522.16796875,574.9021484375,579.04296875,572.3515625
34,42.91428571428573,46.45,35.45,1585.7034970238096,1594.25,1515.71875,474.9583333333333,553.12890625,448.51171875
35,39.15681818181819,49.95,0.0,1552.8404017857142,1552.8671875,1552.8046875,512.5466889880952,523.625,507.00390625
36,39.0904761904762,48.95,0.0,1553.4036458333333,1557.08203125,1553.08203125,509.0868675595238,515.25390625,440.65625
37,42.33452380952382,50.45,4.75,1552.784412202381,1552.80078125,1552.734375,514.4966517857143,518.71875,509.78515625
38,43.875000000000014,50.95,29.725,1558.39921875,1560.25,1558.18359375,456.75390625,510.02734375,445.79296875
39,42.420000000000016,49.1,14.225,1543.400625,1543.58203125,1543.328125,446.568125,451.41796875,442.7421875
40,24.61646341463415,47.375,0.0,1442.4731326219512,1442.51171875,1442.43359375,462.0844131097561,501.6875,385.23046875
