Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.64,0.6486,50.34,"[60, 40, 68, 132]",0.6679,0.64,300
2,0.6133,0.6207,35.29,"[81, 19, 97, 103]",0.7145,0.6133,300
3,0.3333,0.1667,32.48,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,59.89,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,57.43,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,57.53,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,53.11,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.8433,0.8439,29.79,"[78, 22, 25, 175]",0.8446,0.8433,300
9,0.85,0.8424,33.43,"[63, 37, 8, 192]",0.8547,0.85,300
10,0.8867,0.8795,59.09,"[66, 34, 0, 200]",0.9031,0.8867,300
11,0.8967,0.8977,60.4,"[89, 11, 20, 180]",0.9004,0.8967,300
12,0.9233,0.9219,28.51,"[82, 18, 5, 195]",0.9245,0.9233,300
13,0.88,0.8736,44.28,"[67, 33, 3, 197]",0.8901,0.88,300
14,0.9033,0.9005,50.73,"[76, 24, 5, 195]",0.9064,0.9033,300
15,0.92,0.9198,53.81,"[87, 13, 11, 189]",0.9197,0.92,300
16,0.7567,0.7623,43.44,"[99, 1, 72, 128]",0.8545,0.7567,300
17,0.8567,0.844,62.55,"[57, 43, 0, 200]",0.882,0.8567,300
18,0.9233,0.9204,49.96,"[77, 23, 0, 200]",0.9312,0.9233,300
19,0.93,0.9282,30.25,"[81, 19, 2, 198]",0.9336,0.93,300
20,0.9,0.8956,61.95,"[72, 28, 2, 198]",0.9084,0.9,300
21,0.9167,0.9139,54.41,"[77, 23, 2, 198]",0.9222,0.9167,300
22,0.92,0.9181,44.72,"[80, 20, 4, 196]",0.9224,0.92,300
23,0.92,0.9181,29.59,"[80, 20, 4, 196]",0.9224,0.92,300
24,0.9167,0.9145,26.59,"[79, 21, 4, 196]",0.9194,0.9167,300
25,0.9167,0.9145,28.63,"[79, 21, 4, 196]",0.9194,0.9167,300
26,0.92,0.9178,43.43,"[79, 21, 3, 197]",0.9236,0.92,300
27,0.7533,0.7101,52.05,"[30, 70, 4, 196]",0.7853,0.7533,300
28,0.88,0.8762,31.49,"[72, 28, 8, 192]",0.8818,0.88,300
29,0.91,0.9073,43.13,"[77, 23, 4, 196]",0.9135,0.91,300
30,0.9233,0.9213,64.81,"[80, 20, 3, 197]",0.9265,0.9233,300
31,0.9233,0.9236,30.53,"[90, 10, 13, 187]",0.9241,0.9233,300
32,0.93,0.9293,26.21,"[86, 14, 7, 193]",0.9298,0.93,300
33,0.9433,0.9426,48.02,"[87, 13, 4, 196]",0.9439,0.9433,300
34,0.9367,0.9357,41.79,"[85, 15, 4, 196]",0.9376,0.9367,300
35,0.9333,0.9322,31.72,"[84, 16, 4, 196]",0.9345,0.9333,300
36,0.9267,0.9259,27.49,"[85, 15, 7, 193]",0.9266,0.9267,300
37,0.83,0.8139,27.25,"[52, 48, 3, 197]",0.8512,0.83,300
38,0.8733,0.864,30.57,"[62, 38, 0, 200]",0.8936,0.8733,300
39,0.9233,0.9226,40.9,"[85, 15, 8, 192]",0.923,0.9233,300
40,0.9167,0.9132,61.32,"[75, 25, 0, 200]",0.9259,0.9167,300
