Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,27.43369565217392,47.45,0.0,1038.4269701086957,1084.8359375,752.33984375,1813.4110054347825,2427.99609375,1460.171875
2,43.307142857142864,48.7,34.2,1328.0401785714287,1333.1640625,1307.82421875,799.6431361607143,855.5078125,781.85546875
3,42.739285714285714,47.2,27.45,1361.476283482143,1367.7421875,1339.53515625,660.1007254464286,688.49609375,638.3984375
4,41.52166666666666,48.7,4.25,1488.5684895833333,1504.9453125,1352.2578125,467.04921875,667.9453125,406.23046875
5,21.750000000000007,46.45,0.0,1466.061011904762,1467.09375,1465.01953125,538.5837983630952,577.3203125,517.53125
6,41.84558823529412,45.975,18.975,1471.0641084558824,1473.8671875,1465.0390625,536.2635569852941,550.1875,527.97265625
7,23.497619047619057,46.45,0.0,1471.5517113095239,1474.42578125,1470.42578125,578.6151413690476,586.859375,572.26953125
8,41.948750000000004,50.9,1.25,1476.7173108552631,1476.85546875,1474.7890625,579.2596628289474,582.35546875,577.015625
9,43.13333333333335,49.875,34.95,1477.0245225694443,1478.7734375,1474.73046875,499.23719618055554,507.33203125,494.3359375
10,42.47023809523811,47.45,30.225,1479.4471726190477,1481.5546875,1475.4921875,467.2591145833333,473.7421875,461.046875
11,39.41904761904763,46.2,23.725,1482.548549107143,1482.9375,1477.50390625,466.5917038690476,479.01171875,462.8671875
12,42.304166666666674,47.2,19.5,1483.1239149305557,1483.26171875,1481.1953125,443.4837239583333,448.6328125,439.72265625
13,41.56625000000001,49.2,6.75,1471.350390625,1471.55078125,1469.3046875,469.8396484375,476.3828125,463.5546875
14,43.15000000000003,49.95,31.725,1471.3783735795455,1471.49609375,1469.43359375,447.7947443181818,451.61328125,441.08203125
15,35.94166666666667,48.575,0.0,1471.0487351190477,1473.44140625,1469.39453125,478.0790550595238,488.76953125,434.70703125
16,38.92380952380953,48.175,0.0,1471.2762276785713,1473.4765625,1469.4296875,481.2252604166667,489.16796875,475.93359375
17,43.87343750000001,48.45,14.225,1471.408447265625,1473.4140625,1469.3671875,491.070068359375,498.4375,484.8203125
18,35.183333333333344,47.7,21.725,1471.2816220238096,1471.40234375,1469.3359375,459.00111607142856,481.7421875,445.98046875
19,36.69880952380953,47.45,0.0,1472.2643229166667,1472.6484375,1470.5859375,500.53125,513.03515625,457.5703125
20,38.064285714285724,48.95,0.0,1472.5811011904761,1472.796875,1470.73046875,488.7963169642857,514.6484375,461.19921875
21,39.9059523809524,49.45,15.975,1480.475818452381,1480.59375,1478.53125,469.9161086309524,486.078125,424.0546875
22,41.04027777777779,49.975,2.75,1480.5379774305557,1482.53515625,1478.5,487.9713541666667,509.02734375,483.1328125
23,42.309722222222234,47.7,32.225,1480.5104166666667,1482.4765625,1478.4765625,480.3854166666667,498.97265625,472.9140625
24,43.653125,48.675,39.7,1480.455322265625,1482.41796875,1478.41796875,449.115478515625,457.18359375,443.4921875
25,40.66315789473685,48.2,5.0,1481.4268092105262,1481.55859375,1479.49609375,434.9580592105263,442.7109375,401.62109375
26,34.7904761904762,48.7,0.0,1481.215587797619,1483.6953125,1479.46875,439.19419642857144,450.375,396.9609375
27,36.717307692307706,46.95,1.5,1484.2974759615386,1486.3046875,1482.26953125,424.0390625,457.796875,385.9453125
28,41.498809523809534,48.45,28.975,1484.2572544642858,1486.2734375,1482.2265625,416.0924479166667,453.21484375,385.078125
29,34.38571428571429,51.2,0.0,1481.6220238095239,1484.078125,1479.82421875,392.3106398809524,413.03125,364.05859375
30,42.23970588235295,49.2,15.225,1485.3313419117646,1485.47265625,1483.4140625,438.0130974264706,449.3359375,432.203125
31,35.471428571428575,46.7,0.0,1485.2072172619048,1485.421875,1483.36328125,405.42559523809524,425.76953125,366.140625
32,41.360526315789485,47.2,2.5,1480.7993421052631,1482.796875,1478.76171875,420.33861019736844,430.8671875,416.58984375
33,41.218055555555566,47.45,24.975,1478.6968315972222,1478.89453125,1476.65625,435.2213541666667,441.0234375,405.75
34,40.99166666666667,48.925,1.25,1555.5336371527778,1571.91015625,1479.0546875,307.21202256944446,440.2421875,287.5625
35,42.57058823529412,47.2,26.475,1538.7688419117646,1538.91015625,1536.84765625,443.8883272058824,450.0625,440.96875
36,33.985714285714295,48.95,0.0,1542.8692336309523,1543.375,1541.30859375,419.11160714285717,452.09765625,313.75
37,41.26470588235295,47.95,18.975,1543.1966911764705,1543.3359375,1541.26953125,385.9482996323529,392.87109375,371.265625
38,41.494444444444454,47.75,15.225,1543.1710069444443,1543.30078125,1541.24609375,375.9338107638889,403.69140625,363.98828125
39,36.0953947368421,74.35,16.225,1543.200041118421,1543.40625,1541.21484375,377.91200657894734,400.37890625,343.3203125
40,35.38055555555557,49.7,15.225,1530.9024884259259,1531.01171875,1528.94921875,337.89872685185185,358.97265625,319.6328125
