Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7533,0.7364,31.52,"[45, 55, 19, 181]",0.7457,0.7533,300
2,0.3333,0.1667,31.31,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,23.86,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,33.59,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,54.23,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.6667,0.5333,32.86,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.6667,0.5333,56.22,"[0, 100, 0, 200]",0.4444,0.6667,300
8,0.6667,0.5333,28.25,"[0, 100, 0, 200]",0.4444,0.6667,300
9,0.6667,0.5333,27.32,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.68,0.6857,48.35,"[92, 8, 88, 112]",0.7926,0.68,300
11,0.8633,0.8521,32.53,"[59, 41, 0, 200]",0.8866,0.8633,300
12,0.8833,0.8768,27.51,"[67, 33, 2, 198]",0.8951,0.8833,300
13,0.91,0.9062,26.99,"[74, 26, 1, 199]",0.9185,0.91,300
14,0.8767,0.8679,28.52,"[63, 37, 0, 200]",0.8959,0.8767,300
15,0.8933,0.8881,26.23,"[70, 30, 2, 198]",0.903,0.8933,300
16,0.5133,0.4761,26.59,"[100, 0, 146, 54]",0.8022,0.5133,300
17,0.7133,0.7172,25.19,"[100, 0, 86, 114]",0.8459,0.7133,300
18,0.93,0.9289,52.31,"[84, 16, 5, 195]",0.9307,0.93,300
19,0.8967,0.8932,28.66,"[74, 26, 5, 195]",0.9005,0.8967,300
20,0.9,0.8951,27.34,"[71, 29, 1, 199]",0.9106,0.9,300
21,0.9267,0.9246,29.2,"[80, 20, 2, 198]",0.9307,0.9267,300
22,0.9433,0.9419,25.03,"[83, 17, 0, 200]",0.9478,0.9433,300
23,0.94,0.9398,27.9,"[90, 10, 8, 192]",0.9398,0.94,300
24,0.82,0.7974,27.54,"[46, 54, 0, 200]",0.8583,0.82,300
25,0.92,0.9183,26.55,"[81, 19, 5, 195]",0.9214,0.92,300
26,0.9267,0.9261,34.04,"[86, 14, 8, 192]",0.9263,0.9267,300
27,0.9333,0.9317,44.34,"[82, 18, 2, 198]",0.9365,0.9333,300
28,0.9367,0.9352,32.93,"[83, 17, 2, 198]",0.9394,0.9367,300
29,0.9367,0.9355,27.29,"[84, 16, 3, 197]",0.9384,0.9367,300
30,0.9367,0.9352,27.31,"[83, 17, 2, 198]",0.9394,0.9367,300
31,0.9367,0.9352,29.34,"[83, 17, 2, 198]",0.9394,0.9367,300
32,0.8733,0.8647,26.52,"[63, 37, 1, 199]",0.8903,0.8733,300
33,0.6867,0.6886,26.79,"[100, 0, 94, 106]",0.8385,0.6867,300
34,0.9233,0.923,28.72,"[87, 13, 10, 190]",0.9229,0.9233,300
35,0.9367,0.9352,23.34,"[83, 17, 2, 198]",0.9394,0.9367,300
36,0.93,0.9284,26.09,"[82, 18, 3, 197]",0.9324,0.93,300
37,0.8933,0.8915,27.19,"[78, 22, 10, 190]",0.8929,0.8933,300
38,0.9267,0.9254,24.39,"[83, 17, 5, 195]",0.9276,0.9267,300
39,0.94,0.9397,57.23,"[89, 11, 7, 193]",0.9397,0.94,300
40,0.9367,0.9352,53.31,"[83, 17, 2, 198]",0.9394,0.9367,300
