Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,35.22820512820514,47.175,0.5,1026.4779647435898,1071.49609375,737.22265625,2544.4237780448716,3127.9453125,2434.7421875
2,28.27738095238096,47.2,0.0,1317.977027529762,1323.1484375,1291.0625,1428.9838169642858,1537.1875,1289.8203125
3,43.78068181818184,48.2,33.7,1355.7038352272727,1366.34765625,1330.30859375,1225.4074928977273,1263.15625,1205.6875
4,42.22391304347828,48.2,23.725,1489.4969429347825,1496.53515625,1364.48046875,1003.2839673913044,1237.53515625,945.2265625
5,42.82857142857143,50.2,25.175,1491.191127232143,1491.359375,1489.3046875,1012.6630859375,1018.58203125,993.46484375
6,37.72843137254903,57.725,0.0,1489.577588848039,1489.81640625,1489.5234375,911.2310049019608,971.98046875,865.28515625
7,41.10833333333335,49.45,24.7,1498.065625,1498.21875,1496.171875,733.0483072916667,821.25390625,712.734375
8,35.01125000000002,48.925,13.975,1502.4330078125,1504.26171875,1496.20703125,716.398828125,785.09375,589.21484375
9,42.86964285714287,49.425,24.85,1509.6870814732142,1517.46875,1504.19921875,749.2915736607143,754.54296875,744.453125
10,31.47386363636365,50.925,0.0,1515.63671875,1515.671875,1515.61328125,639.9276455965909,744.46875,529.1015625
11,39.26484375000002,47.95,24.475,1521.5635986328125,1523.02734375,1512.9765625,742.892822265625,812.18359375,712.328125
12,39.81810344827588,50.675,14.3,1514.7571390086207,1514.78515625,1514.73046875,604.8240840517242,650.890625,569.9453125
13,43.892500000000005,49.4,32.3,1513.1743489583334,1513.33984375,1511.03515625,669.012109375,677.171875,647.234375
14,42.120454545454564,50.7,22.725,1577.0677083333333,1577.09375,1577.0390625,828.815459280303,835.984375,822.82421875
15,36.958035714285714,52.425,14.3,1526.904087611607,1527.09375,1523.5546875,899.26611328125,904.828125,894.91796875
16,39.57720588235296,49.2,6.0,1525.0452665441176,1525.078125,1525.0234375,911.8393841911765,917.0859375,908.34375
17,41.19038461538464,58.175,24.95,1526.942608173077,1527.046875,1524.9921875,909.126953125,917.41796875,903.50390625
18,42.40476190476191,47.7,16.975,1517.8361235119048,1517.85546875,1517.8046875,896.4224330357143,904.328125,894.53515625
19,42.96785714285714,47.425,15.475,1519.5511532738096,1519.66796875,1517.61328125,894.1551339285714,896.96484375,889.7734375
20,42.63690476190476,48.7,0.25,1517.192894345238,1517.21484375,1517.16015625,887.89453125,892.89453125,885.21875
21,44.49000000000001,49.175,30.975,1520.3568359375,1520.4765625,1518.421875,870.45703125,876.3515625,867.27734375
22,39.20892857142859,51.425,8.5,1517.115234375,1517.13671875,1517.08203125,870.2981305803571,874.47265625,862.578125
23,33.43571428571429,50.45,0.0,1520.273716517857,1520.34765625,1518.296875,798.4806547619048,847.484375,715.34375
24,36.500657894736854,49.2,7.75,1517.6254111842106,1517.65625,1517.59765625,680.5804893092105,777.42578125,623.4921875
25,39.99741379310345,46.95,23.975,1504.010775862069,1504.1015625,1502.05078125,717.6969288793103,856.23828125,687.265625
26,43.323913043478264,57.175,24.225,1501.55078125,1501.71484375,1501.421875,870.3622622282609,881.078125,865.9375
27,44.62708333333335,53.65,28.475,1507.8531901041667,1507.96484375,1505.91015625,869.9939778645834,877.5078125,863.98828125
28,23.04880952380953,50.7,0.0,1501.831287202381,1501.87109375,1501.8125,835.3856956845239,876.06640625,736.953125
29,34.897596153846145,48.675,0.25,1503.8324068509614,1503.98828125,1501.73046875,1531.6023888221155,1563.3125,1514.5546875
30,27.902499999999996,59.425,0.5,1394.468125,1500.3046875,1337.27734375,606.397421875,740.7265625,447.71875
31,29.442647058823535,57.675,13.475,1070.3937653186274,1073.87109375,1057.38671875,623.7472426470588,666.015625,571.8828125
32,32.22788461538463,49.975,13.175,1072.8646816037735,1073.546875,1071.453125,712.1181456367924,779.6171875,650.5859375
33,42.62407407407408,56.425,24.95,1073.5789930555557,1077.578125,1068.2109375,599.0248842592592,623.61328125,590.140625
34,17.178869047619045,59.675,0.0,1158.9687965029761,1173.10546875,1083.48828125,524.3595610119048,766.5,391.71875
35,43.532407407407426,48.7,24.725,1175.0747974537037,1175.359375,1173.23046875,499.447337962963,520.6171875,494.16796875
36,35.11029411764707,52.425,14.85,1166.6051240808824,1166.65625,1166.56640625,450.4273897058824,509.0390625,387.65625
37,40.134259259259274,48.95,16.225,1135.2511574074074,1192.265625,1119.09765625,464.9021990740741,491.5,384.32421875
38,22.013690476190483,47.7,0.0,1130.743675595238,1130.79296875,1130.69921875,443.5347842261905,479.625,391.12890625
39,44.018055555555556,49.225,25.225,1132.4921875,1132.82421875,1130.49609375,416.4865451388889,423.26171875,414.76953125
40,42.855208333333344,51.95,34.475,1130.73193359375,1130.77734375,1130.65625,405.6158854166667,414.90625,402.45703125
