Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7133,0.6306,54.86,"[14, 86, 0, 200]",0.7995,0.7133,300
2,0.72,0.6429,58.56,"[16, 84, 0, 200]",0.8028,0.72,300
3,0.3433,0.1876,31.25,"[100, 0, 197, 3]",0.7789,0.3433,300
4,0.6633,0.6704,46.37,"[61, 39, 62, 138]",0.6851,0.6633,300
5,0.3333,0.1667,48.76,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,81.52,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,68.39,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,79.97,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.8233,0.82,66.58,"[67, 33, 20, 180]",0.8201,0.8233,300
10,0.86,0.8532,74.44,"[65, 35, 7, 193]",0.8653,0.86,300
11,0.89,0.8839,74.12,"[68, 32, 1, 199]",0.9028,0.89,300
12,0.9167,0.9135,58.11,"[76, 24, 1, 199]",0.9239,0.9167,300
13,0.71,0.6243,113.65,"[13, 87, 0, 200]",0.7979,0.71,300
14,0.8833,0.8843,57.96,"[86, 14, 21, 179]",0.8862,0.8833,300
15,0.6933,0.6984,114.61,"[95, 5, 87, 113]",0.8124,0.6933,300
16,0.9567,0.9563,58.54,"[90, 10, 3, 197]",0.957,0.9567,300
17,0.93,0.9276,54.07,"[79, 21, 0, 200]",0.9367,0.93,300
18,0.9167,0.9132,30.96,"[75, 25, 0, 200]",0.9259,0.9167,300
19,0.8933,0.8876,30.66,"[69, 31, 1, 199]",0.9054,0.8933,300
20,0.9267,0.9243,28.58,"[79, 21, 1, 199]",0.9322,0.9267,300
21,0.87,0.86,29.6,"[61, 39, 0, 200]",0.8912,0.87,300
22,0.85,0.8358,55.81,"[55, 45, 0, 200]",0.8776,0.85,300
23,0.6867,0.6914,71.18,"[95, 5, 89, 111]",0.81,0.6867,300
24,0.87,0.8727,69.19,"[92, 8, 31, 169]",0.8859,0.87,300
25,0.93,0.9284,52.24,"[82, 18, 3, 197]",0.9324,0.93,300
26,0.7033,0.7109,56.71,"[88, 12, 77, 123]",0.7852,0.7033,300
27,0.8767,0.8774,36.0,"[84, 16, 21, 179]",0.8786,0.8767,300
28,0.9267,0.9251,710.31,"[82, 18, 4, 196]",0.9284,0.9267,300
29,0.9333,0.9312,140.69,"[80, 20, 0, 200]",0.9394,0.9333,300
30,0.9167,0.9132,152.96,"[75, 25, 0, 200]",0.9259,0.9167,300
31,0.9233,0.9204,124.46,"[77, 23, 0, 200]",0.9312,0.9233,300
32,0.9067,0.9021,122.94,"[72, 28, 0, 200]",0.9181,0.9067,300
33,0.9333,0.9315,54.58,"[81, 19, 1, 199]",0.9378,0.9333,300
34,0.8933,0.8954,108.77,"[94, 6, 26, 174]",0.9056,0.8933,300
35,0.8867,0.8867,62.02,"[83, 17, 17, 183]",0.8867,0.8867,300
36,0.8967,0.8968,67.64,"[85, 15, 16, 184]",0.8969,0.8967,300
37,0.9367,0.9364,47.86,"[89, 11, 8, 192]",0.9364,0.9367,300
38,0.9167,0.9139,51.82,"[77, 23, 2, 198]",0.9222,0.9167,300
39,0.9367,0.9355,25.68,"[84, 16, 3, 197]",0.9384,0.9367,300
40,0.9267,0.9249,38.14,"[81, 19, 3, 197]",0.9295,0.9267,300
