Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,40.4,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.3333,0.1667,35.06,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,27.6,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.6667,0.5333,26.43,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.3333,0.1667,35.37,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,74.03,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,78.92,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,48.87,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,50.52,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,29.61,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,33.69,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,31.42,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,41.21,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,52.51,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,29.88,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.3333,0.1667,24.1,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,26.1,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,50.64,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.3333,0.1667,27.9,"[100, 0, 200, 0]",0.1111,0.3333,300
20,0.3333,0.1667,29.7,"[100, 0, 200, 0]",0.1111,0.3333,300
21,0.3333,0.1667,28.39,"[100, 0, 200, 0]",0.1111,0.3333,300
22,0.3333,0.1667,28.1,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,49.72,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,64.05,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.9033,0.8988,56.16,"[72, 28, 1, 199]",0.9132,0.9033,300
