Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,40.201000000000015,48.45,19.7,996.95453125,1063.75390625,706.43359375,2650.04921875,3199.23828125,2526.15625
2,38.51250000000001,51.85,20.725,1311.4154146634614,1315.6484375,1285.03515625,1552.733173076923,1612.70703125,1540.2265625
3,41.853846153846156,47.7,27.475,1338.4296875,1343.8203125,1323.7734375,1368.6440805288462,1419.94921875,1353.4140625
4,37.216666666666676,47.95,19.25,1471.7899305555557,1500.56640625,1344.609375,1120.997974537037,1302.74609375,1030.06640625
5,43.848611111111126,47.725,37.35,1502.0692274305557,1502.20703125,1500.140625,1014.689453125,1031.83984375,1006.41796875
6,43.32083333333335,49.2,16.475,1501.6176215277778,1503.4296875,1501.4296875,975.8689236111111,981.74609375,969.4375
7,26.39146341463415,49.1,0.0,1503.8832888719512,1505.859375,1501.859375,910.3463224085366,970.45703125,742.20703125
8,40.693750000000016,52.125,27.9,1501.23583984375,1501.265625,1501.203125,878.7989908854166,896.734375,872.5703125
9,42.57222222222224,48.275,37.425,1503.7309027777778,1503.8671875,1501.8046875,678.3092447916666,695.1015625,669.5078125
10,30.210227272727273,50.95,4.75,1457.2270063920455,1459.40625,1446.0390625,607.1004083806819,772.2890625,577.90234375
11,43.00800000000001,50.125,17.0,1509.224375,1513.32421875,1457.32421875,883.70234375,903.72265625,878.1796875
12,43.03250000000001,47.45,6.75,1511.179296875,1511.19921875,1511.14453125,817.4181640625,820.58984375,815.359375
13,21.56524390243903,51.175,0.0,1513.1563452743903,1513.296875,1510.984375,722.5920350609756,812.1875,563.37890625
14,43.26904761904763,48.2,18.725,1511.3614211309523,1511.3828125,1511.328125,722.2710193452381,741.1875,708.20703125
15,44.15131578947369,48.45,9.0,1513.9808799342106,1514.125,1511.80859375,759.647615131579,762.3515625,758.33984375
16,43.740625000000016,47.7,1.25,1511.58984375,1511.609375,1511.55078125,728.46728515625,733.453125,725.55078125
17,27.00238095238096,42.7,0.0,1499.796875,1513.4453125,1435.27734375,517.0047433035714,656.5,375.44140625
18,39.61774193548387,59.925,22.225,1167.332283266129,1169.25390625,1167.0,349.79800907258067,383.0390625,335.62109375
19,25.757558139534886,47.7,0.0,1104.6028343023256,1106.640625,1102.4609375,494.2142078488372,621.4921875,338.55078125
20,43.34239130434784,50.7,18.475,1101.1689877717392,1101.23046875,1101.05078125,652.3510529891304,656.875,598.203125
21,44.16250000000001,57.925,21.725,1155.5720703125,1155.71875,1153.5546875,599.0861328125,604.93359375,594.72265625
22,21.52678571428572,49.95,0.0,1095.9468936011904,1097.359375,1095.359375,672.4249441964286,702.71484375,611.25
23,28.095491803278673,56.05,0.0,1099.0184426229507,1101.15234375,1097.0546875,624.7058145491803,700.07421875,606.37109375
24,41.60833333333335,46.2,5.75,1097.9244791666667,1097.9765625,1097.84375,678.26171875,682.265625,674.37109375
25,36.66666666666668,47.95,0.0,1099.8521205357142,1099.984375,1097.86328125,661.3649553571429,667.25390625,658.81640625
