Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,57.98,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,53.44,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,65.34,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,42.43,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,26.08,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,23.29,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,58.74,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,37.61,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,38.81,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,96.92,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,58.51,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,27.63,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,52.02,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.3333,0.1667,32.55,"[100, 0, 200, 0]",0.1111,0.3333,300
15,0.3333,0.1667,25.68,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.3333,0.1667,40.4,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,101.83,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.6667,0.5333,72.06,"[0, 100, 0, 200]",0.4444,0.6667,300
19,0.6667,0.5333,65.55,"[0, 100, 0, 200]",0.4444,0.6667,300
20,0.6667,0.5333,32.26,"[0, 100, 0, 200]",0.4444,0.6667,300
21,0.6667,0.5333,30.45,"[0, 100, 0, 200]",0.4444,0.6667,300
22,0.6667,0.5333,95.27,"[0, 100, 0, 200]",0.4444,0.6667,300
23,0.3333,0.1667,104.3,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,29.2,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.8967,0.8923,25.95,"[72, 28, 3, 197]",0.9037,0.8967,300
