Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,39.00400000000001,49.425,0.0,993.68890625,1062.9765625,712.85546875,1945.20390625,2506.94140625,1794.55078125
2,41.177272727272744,47.7,5.0,1317.7180397727273,1323.953125,1285.16796875,808.1507457386364,880.85546875,788.0625
3,44.17777777777778,49.2,24.975,1385.070095486111,1406.53125,1332.46875,656.3318142361111,732.625,628.875
4,38.58823529411766,46.95,21.725,1482.075252757353,1485.2734375,1395.98046875,605.1368336397059,774.0703125,543.9375
5,41.332291666666684,49.95,11.975,1487.6848958333333,1489.703125,1485.6484375,680.8951822916666,714.8046875,667.5078125
6,41.55568181818183,49.925,0.5,1490.802734375,1491.23828125,1484.640625,617.2265625,637.3046875,601.53515625
7,38.86428571428571,60.675,7.225,1484.9290178571428,1486.875,1484.828125,605.6686383928571,622.890625,589.96484375
8,43.2284090909091,51.2,24.95,1481.4533025568182,1485.19140625,1479.1484375,625.3831676136364,628.91796875,621.453125
9,21.52743902439025,50.675,0.0,1482.0168635670732,1495.40234375,1452.36328125,426.3784298780488,525.90625,271.91015625
10,43.53854166666667,48.95,20.725,1456.9261067708333,1458.8125,1456.8125,508.84619140625,523.48828125,492.34765625
11,42.69523809523811,50.45,25.25,1469.986793154762,1471.30859375,1460.23828125,467.85565476190476,477.86328125,463.82421875
12,43.63611111111112,53.325,0.0,1444.5972222222222,1444.62109375,1444.55859375,411.3810763888889,416.1875,407.68359375
13,44.95648148148148,50.875,33.675,1441.2293113425926,1443.31640625,1439.01953125,446.6958912037037,455.2734375,440.96875
14,42.98977272727273,51.425,20.3,1416.4298573369565,1416.45703125,1416.39453125,527.866847826087,530.72265625,526.09375
15,36.59318181818184,48.2,16.475,1419.0593039772727,1419.171875,1417.109375,522.7017045454545,528.56640625,519.73828125
16,41.532142857142865,49.7,0.0,1409.6752232142858,1409.69921875,1409.63671875,504.7568824404762,510.88671875,501.47265625
17,44.50500000000001,50.2,31.7,1409.3119140625,1409.3359375,1409.27734375,490.0580078125,494.98828125,486.7578125
18,44.47894736842107,52.45,7.25,1418.8182565789473,1420.78125,1416.78125,472.95045230263156,479.984375,470.01171875
19,38.225000000000016,47.95,13.225,1407.6839657738096,1407.70703125,1407.64453125,487.0444568452381,492.33203125,481.55859375
20,40.54880952380953,48.975,17.225,1395.986049107143,1396.0078125,1395.94921875,504.4879092261905,514.1875,454.7265625
21,43.56309523809525,49.45,18.725,1372.6568080357142,1372.77734375,1370.71484375,524.0876116071429,547.3984375,508.3671875
22,44.92875000000002,49.7,35.825,1371.667578125,1371.69140625,1371.62890625,551.873828125,561.4765625,543.41796875
23,45.52236842105265,49.95,33.2,1373.5041118421052,1373.6328125,1371.57421875,560.7923519736842,567.2109375,556.38671875
24,38.46590909090911,49.45,23.225,1370.911221590909,1370.93359375,1370.87109375,572.3462357954545,600.6484375,548.81640625
25,38.564285714285724,47.95,0.0,1373.4494047619048,1373.57421875,1371.5078125,580.0245535714286,587.48046875,509.12890625
