Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,42.52894736842106,48.95,25.05,1018.0548930921053,1063.4765625,725.58203125,2755.4194078947367,3354.73046875,2653.44140625
2,44.01111111111113,47.7,30.45,1353.8569878472222,1363.91015625,1281.65234375,1628.513671875,1687.75390625,1618.4453125
3,42.719444444444456,47.7,1.5,1372.375217013889,1374.37890625,1370.328125,1456.3782552083333,1483.7109375,1449.6875
4,45.22500000000001,47.7,35.2,1474.133731617647,1481.2265625,1363.40625,1179.018612132353,1415.4453125,1160.16796875
5,44.301470588235304,48.7,25.475,1489.135799632353,1494.80078125,1484.73828125,1111.12109375,1126.37109375,1100.4296875
6,43.26666666666668,48.625,5.25,1487.7265625,1487.87890625,1487.63671875,1050.447048611111,1055.44140625,1043.7578125
7,45.24558823529413,48.7,39.2,1489.9207261029412,1490.05859375,1487.99609375,1005.9230238970588,1008.1640625,1004.5234375
8,43.6638888888889,49.45,8.5,1495.200954861111,1495.2265625,1495.16015625,997.3858506944445,999.28515625,995.8984375
9,43.372222222222234,48.7,0.25,1490.6704963235295,1490.81640625,1488.74609375,952.0514705882352,954.5078125,946.55859375
10,43.173611111111114,47.7,9.75,1509.3734809027778,1509.80078125,1502.4609375,907.3830295138889,912.21484375,906.58984375
11,42.69625000000001,49.2,25.15,1519.6609375,1521.4453125,1510.35546875,884.83125,906.1953125,870.359375
