Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6767,0.556,35.11,"[3, 97, 0, 200]",0.7823,0.6767,300
2,0.5867,0.5884,28.45,"[86, 14, 110, 90]",0.7232,0.5867,300
3,0.64,0.6494,26.34,"[78, 22, 86, 114]",0.7174,0.64,300
4,0.61,0.6149,39.98,"[85, 15, 102, 98]",0.7297,0.61,300
5,0.4533,0.4011,34.61,"[95, 5, 159, 41]",0.7189,0.4533,300
6,0.6033,0.6029,61.38,"[91, 9, 110, 90]",0.757,0.6033,300
7,0.7,0.6916,41.76,"[46, 54, 36, 164]",0.6885,0.7,300
8,0.7167,0.7082,56.27,"[48, 52, 33, 167]",0.7059,0.7167,300
9,0.3433,0.1876,57.39,"[100, 0, 197, 3]",0.7789,0.3433,300
10,0.5067,0.4667,49.42,"[100, 0, 148, 52]",0.8011,0.5067,300
11,0.8367,0.8399,47.89,"[86, 14, 35, 165]",0.8514,0.8367,300
12,0.9133,0.9133,35.28,"[87, 13, 13, 187]",0.9133,0.9133,300
