Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,67.14,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,54.78,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,46.89,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,59.53,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,29.89,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,30.7,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.5567,0.5551,43.03,"[85, 15, 118, 82]",0.7031,0.5567,300
8,0.63,0.6395,41.47,"[77, 23, 88, 112]",0.7086,0.63,300
9,0.7033,0.7114,45.27,"[74, 26, 63, 137]",0.7404,0.7033,300
10,0.68,0.6838,44.76,"[96, 4, 92, 108]",0.8131,0.68,300
11,0.9033,0.9015,86.45,"[79, 21, 8, 192]",0.9036,0.9033,300
