Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,40.60800000000002,54.675,26.4,1031.98375,1108.3984375,734.06640625,2827.18859375,3422.9453125,2620.40234375
2,47.33823529411765,53.95,14.25,1325.0579044117646,1325.21875,1322.87890625,1739.9586397058824,1774.90234375,1735.23046875
3,46.08750000000001,53.15,25.45,1354.4192116477273,1372.609375,1334.56640625,1497.483309659091,1584.828125,1461.53515625
4,46.83529411764707,52.45,20.225,1458.0905330882354,1504.8671875,1370.68359375,1349.4446231617646,1563.10546875,1287.328125
5,47.20294117647059,51.475,17.225,1506.2674632352941,1508.1484375,1506.10546875,1184.9005055147059,1195.1953125,1182.6640625
6,49.0765625,53.95,38.475,1521.96337890625,1522.25,1520.0078125,1032.504150390625,1036.42578125,1028.796875
7,47.32613636363638,54.975,14.975,1507.0257457386363,1508.94921875,1506.90234375,1150.3570667613637,1158.51953125,1146.52734375
8,45.57300000000002,52.975,3.25,1509.79578125,1511.80078125,1507.76171875,1056.585,1103.15625,1041.1640625
9,47.05543478260871,56.875,27.075,1507.9672214673913,1509.84765625,1507.84765625,1081.5762567934783,1094.875,1076.484375
10,33.756097560975604,52.45,0.0,1515.9917111280488,1518.1796875,1506.90625,1054.8459413109756,1073.3203125,1013.5859375
11,22.68589743589743,56.75,0.0,1523.0161758814102,1526.12109375,1514.40625,999.3016326121794,1033.6328125,949.5078125
12,45.56000000000001,51.95,11.25,1526.5489583333333,1526.7109375,1524.640625,997.7861979166667,1002.5703125,995.64453125
13,46.05909090909092,54.2,31.95,1523.870205965909,1523.98828125,1523.75,995.3792613636364,997.69921875,992.7265625
