Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,27.929545454545465,48.7,0.0,954.9507279829545,984.83203125,647.48828125,3027.4612038352275,3610.140625,2935.12109375
2,41.17187500000002,47.475,9.975,1038.49169921875,1041.546875,1004.25390625,2616.7604166666665,2687.5546875,2607.4453125
3,42.30288461538463,48.7,1.0,1076.745342548077,1078.8828125,1060.41796875,2429.8455528846152,2450.44140625,2421.16015625
4,42.756,51.175,30.2,1205.72796875,1235.17578125,1078.83203125,2268.89546875,2415.47265625,2225.671875
5,43.59134615384616,48.7,19.975,1236.7384314903845,1241.41015625,1233.15625,2129.293269230769,2229.54296875,2081.015625
6,43.36826923076924,49.6,13.725,1243.4864783653845,1243.79296875,1241.3671875,2053.1029146634614,2074.19921875,2048.03125
7,26.131097560975604,46.9,0.0,1241.842225609756,1243.76953125,1241.76953125,2050.9088224085367,2055.6328125,2047.73828125
8,42.35357142857145,48.2,16.725,1249.5931919642858,1251.51171875,1247.51171875,2033.1616908482142,2042.50390625,2028.90625
9,43.59134615384615,49.45,17.475,1247.6551983173076,1247.69921875,1247.53125,1983.7979266826924,1989.05859375,1981.359375
10,44.805555555555564,52.65,32.95,1254.6801215277778,1256.71875,1247.60546875,1965.3491030092594,1974.140625,1957.73046875
11,49.2375,63.675,24.8,1259.7808948863637,1260.8984375,1252.8359375,1950.0452769886363,1958.3046875,1945.6640625
12,39.1025,49.2,2.5,1262.81328125,1264.7734375,1260.7734375,1875.1674479166666,1885.6171875,1870.29296875
13,26.042261904761908,48.975,0.0,1260.961216517857,1261.0546875,1260.7421875,1870.90234375,1874.4453125,1867.16015625
14,27.68353658536585,49.675,0.0,1262.9549352134147,1263.04296875,1260.98046875,1875.1146150914635,1887.3515625,1865.46484375
15,43.121,54.675,6.0,1261.30359375,1263.1953125,1260.94921875,1855.9859375,1859.94921875,1853.17578125
16,26.591666666666676,49.95,0.0,1263.1157924107142,1263.203125,1261.140625,1862.314918154762,1873.6796875,1852.33984375
