Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,53.36,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,18.04,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,27.99,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,43.0,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,17.95,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.5433,0.5359,24.96,"[88, 12, 125, 75]",0.7124,0.5433,300
7,0.6933,0.702,23.03,"[76, 24, 68, 132]",0.74,0.6933,300
8,0.7267,0.7302,42.99,"[65, 35, 47, 153]",0.736,0.7267,300
9,0.39,0.2785,15.94,"[100, 0, 183, 17]",0.7845,0.39,300
10,0.8867,0.8821,27.98,"[71, 29, 5, 195]",0.8918,0.8867,300
11,0.9167,0.9161,33.98,"[85, 15, 10, 190]",0.9161,0.9167,300
