Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.67,0.541,47.13,"[1, 99, 0, 200]",0.7793,0.67,300
2,0.7267,0.6647,43.08,"[21, 79, 3, 197]",0.7675,0.7267,300
3,0.5833,0.5933,28.07,"[72, 28, 97, 103]",0.6662,0.5833,300
4,0.5433,0.5438,42.08,"[81, 19, 118, 82]",0.6769,0.5433,300
5,0.3333,0.1667,28.06,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,28.07,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,43.08,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,45.1,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,29.06,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8033,0.807,42.09,"[80, 20, 39, 161]",0.8171,0.8033,300
11,0.84,0.8322,30.06,"[62, 38, 10, 190]",0.8426,0.84,300
12,0.8867,0.8801,32.14,"[67, 33, 1, 199]",0.9003,0.8867,300
13,0.8967,0.8932,45.08,"[74, 26, 5, 195]",0.9005,0.8967,300
14,0.79,0.786,43.1,"[62, 38, 25, 175]",0.7853,0.79,300
15,0.8767,0.8709,44.07,"[68, 32, 5, 195]",0.8832,0.8767,300
16,0.91,0.907,44.1,"[76, 24, 3, 197]",0.9149,0.91,300
