Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3767,0.2627,63.23,"[98, 2, 185, 15]",0.7037,0.3767,300
2,0.6967,0.6888,64.43,"[46, 54, 37, 163]",0.6855,0.6967,300
3,0.6467,0.6566,59.6,"[75, 25, 81, 119]",0.7112,0.6467,300
4,0.5367,0.5205,48.64,"[93, 7, 132, 68]",0.7422,0.5367,300
5,0.3333,0.1667,134.99,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,206.36,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,66.02,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,64.12,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,81.39,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.9,0.8947,71.62,"[70, 30, 0, 200]",0.913,0.9,300
11,0.9233,0.921,68.13,"[79, 21, 2, 198]",0.9278,0.9233,300
