round,layer_index,norm,std_dev,shape
1,0,22331396.86356382,785289.8941923655,"(5, 5, 1, 32)"
1,1,5062491.537857323,851059.3819924885,"(32,)"
1,2,5998463.956628397,1053778.6245021117,"(32,)"
1,3,3574758.552292588,628870.4259196534,"(32,)"
1,4,15692157.753860142,2232532.352028944,"(32,)"
1,5,258764643.4221141,139305.3328070796,"(32,)"
1,6,102136538.37667507,867527.3396121531,"(5, 5, 32, 16)"
1,7,4281689.558286308,707476.3894718501,"(16,)"
1,8,2766600.8252969924,690751.9242009935,"(16,)"
1,9,2175372.661608351,483544.3547786579,"(16,)"
1,10,112505711.38313326,9323834.20596615,"(16,)"
1,11,86081421.8188142,17353308.046622306,"(16,)"
1,12,81442416.26671879,691355.0832699836,"(5, 5, 16, 32)"
1,13,4643086.332236781,567198.4674334647,"(32,)"
1,14,8866944.580834651,887561.3183117744,"(32,)"
1,15,4449815.191235587,747313.3292314903,"(32,)"
1,16,142264557.7080649,8159454.719142345,"(32,)"
1,17,147030902.71334848,22400492.51627517,"(32,)"
1,18,878532837.7161405,914918.3192091185,"(4608, 200)"
1,19,11792212.43120586,565058.1287694266,"(200,)"
1,20,18918335.00436492,945916.7502182253,"(200, 2)"
1,21,666482.082393818,471274.0,"(2,)"
1,0,18939979.291718114,667227.6086991187,"(5, 5, 1, 32)"
1,1,4449481.889701429,735236.6420758952,"(32,)"
1,2,4002091.2975736824,702817.0579607586,"(32,)"
1,3,3287627.382889521,577678.8449120303,"(32,)"
1,4,15721509.303427264,2324535.9154567686,"(32,)"
1,5,258795485.54534882,162947.6780478553,"(32,)"
1,6,88674476.3550723,781315.7478358321,"(5, 5, 32, 16)"
1,7,2566057.196468738,573451.6431388002,"(16,)"
1,8,2482458.0185090746,620077.6804930245,"(16,)"
1,9,2790959.3640037114,693952.5515984391,"(16,)"
1,10,78904465.61054318,8795510.82745967,"(16,)"
1,11,126046695.33909358,13982183.349975053,"(16,)"
1,12,66090505.392692246,582402.0840688102,"(5, 5, 16, 32)"
1,13,3890080.3161481125,666209.0422978987,"(32,)"
1,14,6233972.986320762,453360.37677312095,"(32,)"
1,15,2190648.864906697,343610.66383303684,"(32,)"
1,16,125261311.2273234,8300674.635713894,"(32,)"
1,17,148663470.950447,13942195.980087034,"(32,)"
1,18,788919598.4249467,819443.4916983502,"(4608, 200)"
1,19,8011037.756678095,402090.5026492598,"(200,)"
1,20,12635283.164652226,631764.1582326085,"(200, 2)"
1,21,689477.1949180046,487534.0,"(2,)"
2,0,6996709.813990716,247041.21581760907,"(5, 5, 1, 32)"
2,1,1005473.2105217921,175586.17450004863,"(32,)"
2,2,783569.6216584714,136660.8411329737,"(32,)"
2,3,2123477.5918337354,359862.44629640586,"(32,)"
2,4,7879310.146127198,1165255.5764814634,"(32,)"
2,5,140245740.9385951,72866.63240768386,"(32,)"
2,6,43021045.87117217,380128.2687052944,"(5, 5, 32, 16)"
2,7,1045460.2669838773,216160.59688935563,"(16,)"
2,8,933123.8042687583,231190.79796038292,"(16,)"
2,9,795255.9795745015,196710.9129124255,"(16,)"
