Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,37.26979166666668,47.7,0.0,1021.5476888020834,1076.6328125,739.49609375,2625.6896158854165,3164.6875,2517.890625
2,43.123809523809534,47.45,14.975,1329.2583705357142,1331.66796875,1298.87109375,1524.9278273809523,1596.30859375,1505.38671875
3,42.99125,46.7,21.475,1362.5125,1364.6796875,1340.38671875,1312.328515625,1358.97265625,1299.93359375
4,43.529166666666676,47.7,25.725,1388.3198784722222,1391.55859375,1365.50390625,1157.2881944444443,1303.94921875,1134.80859375
5,36.89880952380953,48.45,0.0,1484.264880952381,1493.52734375,1391.265625,999.7418154761905,1108.2421875,916.9296875
6,43.94444444444445,47.95,21.475,1499.845703125,1500.5,1494.21484375,979.4576822916666,985.57421875,973.97265625
7,43.50555555555557,48.45,15.975,1499.865451388889,1499.8828125,1499.83203125,982.4774305555555,988.1484375,978.59375
8,42.40000000000001,48.2,15.225,1498.232638888889,1498.25390625,1498.19921875,934.2074652777778,942.38671875,931.89453125
9,44.0842105263158,49.425,38.45,1529.6595394736842,1535.34375,1521.3125,823.6803042763158,839.93359375,817.3515625
10,43.093055555555566,47.7,5.25,1546.0922309027778,1546.8671875,1533.734375,806.8908420138889,820.7734375,798.59375
11,41.77045454545455,55.925,2.5,1552.0443892045455,1553.16015625,1545.10546875,801.4925426136364,812.15234375,799.19921875
