Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,35.21,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,28.69,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,29.49,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,25.32,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,27.53,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,23.91,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,24.03,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,26.74,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,28.63,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.7567,0.7055,26.35,"[27, 73, 0, 200]",0.8217,0.7567,300
11,0.9,0.9007,33.76,"[88, 12, 18, 182]",0.9022,0.9,300
