Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,26.242441860465114,53.475,0.0,951.8388444767442,999.109375,654.77734375,3012.9189680232557,3536.94921875,2911.5390625
2,47.89411764705884,55.325,5.25,1048.4508272058824,1050.84765625,1015.35546875,2600.784466911765,2659.984375,2595.01171875
3,48.239583333333336,53.425,7.0,1086.15576171875,1087.6171875,1059.3828125,2415.5569661458335,2456.5859375,2407.6953125
4,44.778571428571446,51.2,15.225,1140.232142857143,1152.6328125,1090.8203125,2192.5128348214284,2371.38671875,2172.15625
5,46.19423076923078,52.425,19.475,1241.0748197115386,1250.078125,1157.44921875,2081.881610576923,2155.16015625,2069.09765625
6,35.85595238095239,51.95,0.0,1240.5535714285713,1240.953125,1233.44140625,2052.505394345238,2066.7265625,2041.51953125
7,31.501190476190487,51.95,0.0,1253.1478794642858,1253.25,1252.71875,2028.2689732142858,2033.421875,2019.296875
8,25.043589743589752,52.95,0.0,1255.1079727564102,1255.19140625,1253.140625,2003.9197716346155,2011.60546875,2000.62890625
9,45.40625000000001,50.975,6.25,1258.9615885416667,1259.109375,1258.6875,1941.1611328125,1942.80078125,1939.0390625
10,48.66304347826088,56.425,32.975,1255.7715692934783,1255.91796875,1253.62109375,1939.788383152174,1945.515625,1937.9296875
11,46.06458333333335,54.2,7.75,1266.1904296875,1270.203125,1260.8671875,1899.5374348958333,1920.1015625,1884.59765625
