Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,32.75,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.7267,0.7323,67.73,"[70, 30, 52, 148]",0.7456,0.7267,300
3,0.7033,0.6868,136.27,"[40, 60, 29, 171]",0.6867,0.7033,300
4,0.3333,0.1667,65.13,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.4433,0.38,72.33,"[97, 3, 164, 36]",0.7393,0.4433,300
6,0.7867,0.7549,73.63,"[38, 62, 2, 198]",0.8244,0.7867,300
7,0.7433,0.6837,31.41,"[23, 77, 0, 200]",0.8147,0.7433,300
8,0.8267,0.8198,26.49,"[62, 38, 14, 186]",0.8255,0.8267,300
9,0.87,0.864,48.19,"[67, 33, 6, 194]",0.8757,0.87,300
10,0.8667,0.8582,71.32,"[63, 37, 3, 197]",0.8794,0.8667,300
11,0.8933,0.8876,68.62,"[69, 31, 1, 199]",0.9054,0.8933,300
12,0.9033,0.8984,68.5,"[71, 29, 0, 200]",0.9156,0.9033,300
13,0.9367,0.9359,82.4,"[86, 14, 5, 195]",0.937,0.9367,300
