Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.7067,0.6495,36.72,"[21, 79, 9, 191]",0.7049,0.7067,300
2,0.3333,0.1667,48.51,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,49.87,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,58.24,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,57.31,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,55.27,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.15,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,31.68,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,52.76,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.3333,0.1667,28.73,"[100, 0, 200, 0]",0.1111,0.3333,300
11,0.3333,0.1667,29.64,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,52.75,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,28.27,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.7667,0.7235,61.48,"[31, 69, 1, 199]",0.8179,0.7667,300
15,0.3333,0.1667,47.52,"[100, 0, 200, 0]",0.1111,0.3333,300
16,0.72,0.6869,47.42,"[32, 68, 16, 184]",0.709,0.72,300
17,0.87,0.8702,48.99,"[81, 19, 20, 180]",0.8703,0.87,300
