Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,163.60000000000005,189.8,64.9,1010.316796875,1062.8203125,733.83984375,2403.6408203125,2983.29296875,2293.20703125
2,172.61000000000007,190.8,52.9,1315.90234375,1322.2265625,1284.12890625,1262.7162109375,1298.91015625,1253.140625
3,179.22777777777782,194.8,132.8,1353.4713541666667,1358.15625,1332.08984375,1054.392795138889,1104.55078125,1041.75390625
4,156.50952380952387,189.8,0.0,1452.0580357142858,1489.984375,1347.48828125,799.7942708333334,1001.765625,672.26953125
5,176.25000000000006,192.0,111.9,1479.458203125,1479.86328125,1475.18359375,729.8853515625,737.60546875,728.41015625
6,160.15238095238098,187.8,0.0,1473.161830357143,1473.3515625,1473.0703125,673.2274925595239,675.375,671.4296875
7,172.92500000000004,189.8,19.9,1473.9361328125,1474.05859375,1471.99609375,686.6650390625,690.078125,683.765625
8,174.5476190476191,187.8,143.8,1471.5613839285713,1471.58203125,1471.51953125,699.0770089285714,702.45703125,693.421875
9,103.36285714285721,175.5,0.0,1491.5296875,1498.19921875,1485.890625,563.8245535714286,626.3203125,538.4296875
10,168.49615384615387,185.8,2.0,1472.8539663461538,1474.73828125,1472.73828125,593.3664362980769,600.90625,587.76953125
11,87.13095238095241,188.6,0.0,1473.8936941964287,1475.875,1471.875,577.5048363095239,592.71484375,514.41796875
12,150.9433333333334,191.8,2.0,1426.5770833333333,1427.13671875,1423.07421875,644.7682291666666,652.19921875,636.32421875
13,98.72325581395354,197.7,0.0,1424.266715116279,1424.46875,1422.1484375,712.9149709302326,759.88671875,604.92578125
