Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,23.589204545454553,48.95,0.0,1041.384765625,1072.96875,738.953125,2436.9046519886365,3123.265625,2146.0390625
2,42.585000000000015,46.2,26.225,1322.8666015625,1330.75,1294.1796875,1506.5451171875,1566.92578125,1485.94921875
3,42.33863636363637,46.95,28.45,1360.4371448863637,1366.7734375,1338.453125,1269.307705965909,1324.953125,1248.140625
4,39.571428571428584,48.475,0.0,1468.6130952380952,1491.3984375,1357.65234375,1035.5435267857142,1249.76953125,945.3515625
5,44.12125000000002,48.2,22.975,1508.1970703125,1512.93359375,1490.63671875,942.3287109375,953.7734375,935.78515625
6,43.485227272727286,48.45,36.7,1511.0081676136363,1511.20703125,1510.921875,876.9463778409091,888.7890625,860.83203125
7,42.605000000000004,50.95,1.0,1513.0734375,1513.1953125,1511.1328125,886.0564453125,891.44140625,883.5703125
8,23.679268292682934,48.2,0.0,1510.3866257440477,1512.31640625,1510.31640625,917.5490141369048,967.921875,859.01953125
9,40.0388888888889,46.95,5.5,1522.118923611111,1524.87890625,1518.08984375,856.6627604166666,873.26171875,851.734375
10,21.575000000000006,48.95,0.0,1519.0158110119048,1520.96484375,1518.44921875,883.6773623511905,931.8828125,796.82421875
11,42.3875,48.95,19.225,1530.2053786057693,1533.6640625,1522.5703125,880.6960637019231,896.34765625,857.59765625
12,38.86666666666668,48.2,0.0,1524.7369791666667,1526.609375,1524.60546875,817.3218005952381,825.34765625,761.203125
13,42.79750000000002,48.7,4.75,1527.278125,1527.5078125,1525.1953125,852.774609375,859.15234375,850.3046875
14,37.72619047619047,50.675,0.0,1524.931919642857,1526.84375,1524.80078125,849.6661086309524,857.57421875,804.40625
15,35.354761904761915,47.7,0.0,1542.1231398809523,1542.25,1540.1875,836.7265625,854.171875,753.62109375
16,42.495833333333344,48.45,0.25,1539.2580422794117,1539.27734375,1539.22265625,844.62109375,850.91796875,841.41015625
17,45.06764705882353,47.95,34.975,1533.323299632353,1533.46484375,1531.40234375,848.1909466911765,856.67578125,845.18359375
