Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.4467,0.4622,6.25,"[38, 62, 104, 96]",0.4943,0.4467,300
2,0.4467,0.4622,2.07,"[38, 62, 104, 96]",0.4943,0.4467,300
3,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
4,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
5,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
6,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
7,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
8,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
9,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
10,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
11,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
12,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
13,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
14,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
15,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
16,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
17,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
18,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
19,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
20,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
21,0.4467,0.4622,1.01,"[38, 62, 104, 96]",0.4943,0.4467,300
22,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
23,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
24,0.4467,0.4622,1.0,"[38, 62, 104, 96]",0.4943,0.4467,300
