round,layer_index,avg_diffs,std_dev,shape
1,0,526638.08,400908.73209509737,"(5, 5, 1, 32)"
1,1,614578.875,311052.83431333554,"(32,)"
1,2,626060.375,520371.2647110564,"(32,)"
1,3,663802.71875,410147.7230797638,"(32,)"
1,4,1558041.40625,2390734.5410637897,"(32,)"
1,5,45193853.5625,190788.0246202473,"(32,)"
1,6,646323.160078125,512194.6294744375,"(5, 5, 32, 16)"
1,7,705993.375,386512.2986333803,"(16,)"
1,8,390778.5,334768.5651957931,"(16,)"
1,9,642585.6875,363257.3328461035,"(16,)"
1,10,18077717.75,6702842.194166381,"(16,)"
1,11,28278503.9375,9681426.308994064,"(16,)"
1,12,491200.54109375,359008.98679722997,"(5, 5, 16, 32)"
1,13,598499.71875,343922.73522553674,"(32,)"
1,14,1261086.0,673316.1469580987,"(32,)"
1,15,530592.375,404496.7129520917,"(32,)"
1,16,22005581.96875,6208213.2167631,"(32,)"
1,17,21196400.4375,10731122.469103202,"(32,)"
1,18,667557.1936631944,581019.3716646065,"(4608, 200)"
1,19,457149.85,306512.92590485886,"(200,)"
1,20,593167.0275,368536.41803076497,"(200, 2)"
1,21,334094.0,0.0,"(2,)"
2,0,174226.54,195802.65862585575,"(5, 5, 1, 32)"
2,1,105136.09375,117656.70777928457,"(32,)"
2,2,123460.21875,101208.46009003348,"(32,)"
2,3,152276.3125,98133.41306559322,"(32,)"
2,4,741052.34375,1215685.1210477625,"(32,)"
2,5,24740152.96875,88471.22062974927,"(32,)"
2,6,304213.967734375,359945.14852624113,"(5, 5, 32, 16)"
2,7,146091.4375,140599.69088291444,"(16,)"
2,8,144683.375,181047.48646759606,"(16,)"
2,9,123927.5625,114020.25211227211,"(16,)"
2,10,7494911.8125,4141526.5481584687,"(16,)"
2,11,19473484.0,5505625.405767348,"(16,)"
2,12,177277.255703125,162895.0887024347,"(5, 5, 16, 32)"
2,13,176456.0,150104.16455102936,"(32,)"
2,14,277656.8125,183578.05754168265,"(32,)"
2,15,248540.46875,184096.95070142124,"(32,)"
2,16,10950730.3125,5280582.959497088,"(32,)"
2,17,13096994.71875,7673319.631428235,"(32,)"
2,18,359703.4300412326,331259.8539169338,"(4608, 200)"
2,19,118445.915,133266.70137115187,"(200,)"
2,20,140595.595,191105.8091435108,"(200, 2)"
2,21,256683.0,0.0,"(2,)"
3,0,185998.90375,190403.49471551063,"(5, 5, 1, 32)"
3,1,204922.25,191014.09556757848,"(32,)"
3,2,204359.25,209274.22326160956,"(32,)"
3,3,266565.0,203397.11079483773,"(32,)"
3,4,500852.40625,715524.8066198884,"(32,)"
3,5,13536025.75,43678.49791373325,"(32,)"
3,6,307015.881015625,320847.65429088206,"(5, 5, 32, 16)"
3,7,289567.75,284659.08262307825,"(16,)"
3,8,159727.75,76665.6310460398,"(16,)"
3,9,166752.75,103605.96972514421,"(16,)"
3,10,5332582.875,4625359.815628373,"(16,)"
3,11,11095122.3125,4970940.306686486,"(16,)"
3,12,172220.016640625,147055.20450764388,"(5, 5, 16, 32)"
3,13,218000.8125,207181.22003550985,"(32,)"
3,14,145453.84375,105351.6370797428,"(32,)"
3,15,117346.09375,87059.82218830888,"(32,)"
3,16,3623105.6875,3094082.9124333374,"(32,)"
3,17,11611773.6875,5613181.063244383,"(32,)"
3,18,296743.91739583336,265664.32410620974,"(4608, 200)"
3,19,124301.065,159428.53166958786,"(200,)"
3,20,154515.8675,241994.74752360833,"(200, 2)"
3,21,205353.0,0.0,"(2,)"
4,0,183802.4175,171467.99464655406,"(5, 5, 1, 32)"
4,1,145459.46875,164603.6215319594,"(32,)"
4,2,265632.65625,190954.02347253799,"(32,)"
4,3,118878.40625,138768.70991911762,"(32,)"
4,4,197089.96875,248404.87988218,"(32,)"
4,5,7420667.28125,18533.250123484777,"(32,)"
4,6,305109.370390625,304996.74649660266,"(5, 5, 32, 16)"
4,7,145823.25,114984.17339600482,"(16,)"
4,8,269860.0625,193138.74055600184,"(16,)"
