Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,34.40113636363637,48.95,0.0,1036.881924715909,1070.19921875,749.62109375,2741.6654829545455,3310.19921875,2408.59765625
2,43.02083333333334,48.7,3.75,1322.538845486111,1326.28125,1292.96484375,1725.3111979166667,1783.4140625,1714.11328125
3,42.7513888888889,48.7,0.0,1360.6983506944443,1364.76171875,1334.484375,1532.6124131944443,1578.5703125,1520.31640625
4,43.992647058823536,48.375,17.4,1464.6135110294117,1502.24609375,1368.234375,1356.6321231617646,1489.69921875,1312.078125
5,37.64761904761905,48.95,0.0,1509.3936011904761,1512.65234375,1504.359375,1207.822730654762,1285.00390625,1139.87890625
6,45.95441176470588,50.275,42.675,1514.4347426470588,1514.875,1512.58984375,1182.9841452205883,1198.48828125,1179.7265625
7,45.361764705882365,50.45,40.2,1515.8458180147059,1515.8671875,1515.8125,1174.1309742647059,1177.2421875,1172.54296875
8,45.60833333333334,49.45,39.45,1515.8346354166667,1515.85546875,1515.80078125,1148.1126302083333,1152.6875,1144.99609375
9,43.263235294117656,47.45,9.25,1519.5645680147059,1519.8203125,1515.76171875,1074.7775735294117,1081.47265625,1071.9140625
10,44.74558823529413,49.175,28.2,1526.5544577205883,1527.0,1519.74609375,1045.1794577205883,1068.6015625,1041.21875
11,42.44375000000001,49.45,6.25,1526.9431640625,1526.96484375,1526.9140625,1018.756640625,1020.84375,1013.85546875
12,44.40441176470589,48.2,36.95,1526.8885569852941,1526.91015625,1526.85546875,946.8699448529412,950.44921875,942.1015625
13,42.81805555555556,48.45,4.725,1527.0023871527778,1527.1171875,1526.8125,931.3556857638889,935.51953125,923.8046875
14,44.80000000000002,47.95,32.95,1527.0772569444443,1527.09765625,1527.04296875,955.1130642361111,956.60546875,952.9765625
15,44.64411764705883,47.7,20.725,1527.0716911764705,1527.08984375,1527.03515625,949.0418198529412,955.265625,948.11328125
16,43.64305555555556,47.425,15.45,1530.6803385416667,1530.69921875,1530.6484375,936.2217881944445,941.64453125,932.89453125
17,37.01071428571429,47.45,20.725,1530.6436011904761,1530.6640625,1530.61328125,940.0721726190476,947.4609375,935.578125
18,43.81527777777778,47.7,22.475,1530.603732638889,1530.625,1530.5703125,922.7120225694445,927.5078125,915.77734375
19,36.99880952380953,47.7,0.0,1530.614955357143,1530.8046875,1530.55078125,917.3461681547619,926.796875,879.43359375
20,44.22941176470589,47.7,27.225,1530.7780330882354,1530.796875,1530.7421875,923.0068933823529,932.5390625,916.53125
21,44.150000000000006,49.45,20.725,1532.734619140625,1532.75390625,1532.703125,940.796142578125,943.12890625,938.6015625
22,36.28095238095239,47.95,0.0,1534.4248511904761,1534.44921875,1534.3984375,912.1772693452381,924.484375,859.48046875
23,42.64852941176471,47.975,0.0,1534.3848805147059,1534.40234375,1534.3515625,928.0016084558823,936.25,921.71875
24,44.222058823529416,50.45,30.45,1534.3334099264705,1534.35546875,1534.30078125,903.2509191176471,914.22265625,898.68359375
25,37.12857142857143,48.8,0.0,1534.279575892857,1534.3046875,1534.24609375,894.9334077380952,902.3203125,844.8515625
