Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,29.69,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,26.25,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,23.27,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,22.68,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.6667,0.5333,26.23,"[0, 100, 0, 200]",0.4444,0.6667,300
6,0.3333,0.1667,23.35,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,25.77,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,26.45,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.6667,0.5333,22.41,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.6667,0.5333,22.78,"[0, 100, 0, 200]",0.4444,0.6667,300
11,0.3333,0.1667,27.24,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.6667,0.5333,23.23,"[0, 100, 0, 200]",0.4444,0.6667,300
13,0.6667,0.5333,23.39,"[0, 100, 0, 200]",0.4444,0.6667,300
14,0.6667,0.5333,26.07,"[0, 100, 0, 200]",0.4444,0.6667,300
15,0.6667,0.5333,22.24,"[0, 100, 0, 200]",0.4444,0.6667,300
16,0.6667,0.5333,25.95,"[0, 100, 0, 200]",0.4444,0.6667,300
17,0.3333,0.1667,27.67,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,24.09,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.6667,0.5333,26.34,"[0, 100, 0, 200]",0.4444,0.6667,300
20,0.6667,0.5333,26.17,"[0, 100, 0, 200]",0.4444,0.6667,300
21,0.6667,0.5333,22.5,"[0, 100, 0, 200]",0.4444,0.6667,300
22,0.6667,0.5333,26.21,"[0, 100, 0, 200]",0.4444,0.6667,300
23,0.3333,0.1667,23.11,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,26.42,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.6667,0.5333,26.48,"[0, 100, 0, 200]",0.4444,0.6667,300
