Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.360227272727286,48.2,0.0,1073.8696732954545,1121.69921875,778.10546875,2583.149502840909,3122.046875,2491.625
2,43.86805555555557,47.7,17.975,1397.5260416666667,1399.7265625,1361.609375,1474.3446180555557,1548.953125,1466.265625
3,36.52261904761905,48.7,0.0,1401.7606026785713,1402.93359375,1378.8671875,1375.9384300595239,1437.22265625,1299.9453125
4,42.2013888888889,48.95,2.75,1534.4898003472222,1549.4609375,1399.39453125,1057.5338541666667,1333.9296875,1026.57421875
5,44.85,48.45,33.225,1542.944393382353,1544.60546875,1542.60546875,1028.215762867647,1030.58203125,1026.09765625
6,36.82619047619049,48.2,0.0,1554.3389136904761,1554.515625,1554.22265625,1004.6800595238095,1022.12890625,942.625
7,35.039285714285725,48.7,0.0,1553.9994419642858,1554.03125,1553.96484375,994.5016741071429,1015.0234375,929.57421875
8,44.06323529411766,47.95,34.7,1553.9997702205883,1554.01953125,1553.953125,984.0264246323529,994.4140625,980.6640625
9,38.432142857142864,47.45,0.0,1553.428199404762,1553.45703125,1553.390625,881.3671875,892.0,873.4765625
10,43.648684210526326,49.7,14.475,1565.4706003289473,1566.0859375,1554.75390625,865.8458059210526,894.54296875,819.19921875
11,41.69545454545456,47.2,4.0,1574.817471590909,1575.5703125,1567.5078125,838.3504971590909,858.56640625,835.375
12,43.244736842105276,48.95,5.5,1569.668791118421,1569.69140625,1569.62890625,754.987458881579,769.2109375,751.12890625
13,40.4904761904762,49.2,0.0,1573.4440104166667,1573.5546875,1573.234375,745.296130952381,755.16796875,699.1328125
14,39.13452380952382,48.95,0.0,1573.5736607142858,1575.4453125,1573.44140625,731.7354910714286,738.22265625,670.4453125
15,44.54583333333335,49.575,38.2,1581.8569878472222,1581.87890625,1581.81640625,708.2096354166666,715.2890625,705.8125
16,43.31447368421053,46.45,22.225,1572.0598273026317,1572.08203125,1572.01953125,699.9078947368421,707.56640625,659.3359375
17,42.99166666666668,47.875,2.75,1573.399925595238,1573.421875,1573.359375,690.1702008928571,695.6796875,688.109375
18,41.97272727272729,47.7,8.75,1577.3510298295455,1577.37109375,1577.30859375,649.6491477272727,654.8828125,646.3125
19,43.17763157894738,46.7,25.225,1562.7277960526317,1562.75,1562.6875,667.7014802631579,672.625,666.22265625
20,42.53552631578948,46.7,23.725,1576.9582648026317,1576.98046875,1576.91796875,652.37109375,659.51953125,635.61328125
21,43.1013888888889,49.2,13.725,1576.90625,1576.9296875,1576.8671875,680.3177083333334,686.6328125,678.1015625
22,43.18026315789475,47.2,36.45,1576.9825246710527,1578.83984375,1576.83984375,643.7222450657895,658.453125,637.05078125
23,44.50277777777779,48.425,33.475,1574.2899305555557,1574.3125,1574.25,641.5598958333334,649.76171875,638.71484375
24,44.45833333333334,47.7,31.45,1574.8736979166667,1574.9453125,1574.6640625,654.875,665.9921875,650.4140625
25,44.7513888888889,49.2,35.95,1587.060763888889,1588.91015625,1586.91015625,635.4995659722222,645.5859375,629.5703125
