Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,28.12,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.6667,0.5333,24.18,"[0, 100, 0, 200]",0.4444,0.6667,300
3,0.3333,0.1667,23.13,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.6667,0.5333,24.01,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.3333,0.1667,26.16,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.6667,0.5333,26.32,"[0, 100, 0, 200]",0.4444,0.6667,300
7,0.3333,0.1667,23.72,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,23.21,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.6667,0.5333,27.83,"[0, 100, 0, 200]",0.4444,0.6667,300
10,0.6667,0.5333,26.27,"[0, 100, 0, 200]",0.4444,0.6667,300
11,0.3333,0.1667,29.32,"[100, 0, 200, 0]",0.1111,0.3333,300
12,0.3333,0.1667,26.35,"[100, 0, 200, 0]",0.1111,0.3333,300
13,0.3333,0.1667,25.81,"[100, 0, 200, 0]",0.1111,0.3333,300
14,0.6667,0.5333,23.72,"[0, 100, 0, 200]",0.4444,0.6667,300
15,0.6667,0.5333,26.2,"[0, 100, 0, 200]",0.4444,0.6667,300
16,0.3333,0.1667,26.26,"[100, 0, 200, 0]",0.1111,0.3333,300
17,0.3333,0.1667,26.19,"[100, 0, 200, 0]",0.1111,0.3333,300
18,0.3333,0.1667,23.75,"[100, 0, 200, 0]",0.1111,0.3333,300
19,0.6667,0.5333,23.93,"[0, 100, 0, 200]",0.4444,0.6667,300
20,0.6667,0.5333,23.78,"[0, 100, 0, 200]",0.4444,0.6667,300
21,0.6667,0.5333,25.76,"[0, 100, 0, 200]",0.4444,0.6667,300
22,0.3333,0.1667,27.29,"[100, 0, 200, 0]",0.1111,0.3333,300
23,0.3333,0.1667,31.61,"[100, 0, 200, 0]",0.1111,0.3333,300
24,0.3333,0.1667,26.76,"[100, 0, 200, 0]",0.1111,0.3333,300
25,0.3333,0.1667,26.27,"[100, 0, 200, 0]",0.1111,0.3333,300
