Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6567,0.6647,24.07,"[62, 38, 65, 135]",0.683,0.6567,300
2,0.3333,0.1667,28.01,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,21.96,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,22.04,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,23.96,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,19.98,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.6067,0.6147,22.02,"[79, 21, 97, 103]",0.7034,0.6067,300
8,0.4467,0.3759,19.95,"[100, 0, 166, 34]",0.792,0.4467,300
9,0.7133,0.7192,18.03,"[68, 32, 54, 146]",0.7326,0.7133,300
10,0.79,0.7959,19.95,"[89, 11, 52, 148]",0.8309,0.79,300
11,0.89,0.8896,23.97,"[82, 18, 15, 185]",0.8893,0.89,300
12,0.7967,0.8024,17.02,"[91, 9, 52, 148]",0.8406,0.7967,300
13,0.9133,0.9121,20.96,"[82, 18, 8, 192]",0.9132,0.9133,300
