Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6667,0.5333,48.57,"[0, 100, 0, 200]",0.4444,0.6667,300
2,0.67,0.541,66.26,"[1, 99, 0, 200]",0.7793,0.67,300
3,0.3333,0.1667,52.45,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,41.77,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,62.18,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3533,0.2132,54.6,"[99, 1, 193, 7]",0.6963,0.3533,300
7,0.7267,0.7158,58.95,"[47, 53, 29, 171]",0.7151,0.7267,300
8,0.6833,0.6915,63.3,"[69, 31, 64, 136]",0.7158,0.6833,300
9,0.8067,0.7865,51.0,"[47, 53, 5, 195]",0.8255,0.8067,300
10,0.83,0.8306,32.82,"[76, 24, 27, 173]",0.8314,0.83,300
11,0.63,0.6296,51.66,"[95, 5, 106, 94]",0.7905,0.63,300
12,0.5933,0.5837,63.97,"[98, 2, 120, 80]",0.8003,0.5933,300
13,0.8867,0.8817,66.31,"[70, 30, 4, 196]",0.8935,0.8867,300
14,0.88,0.879,42.31,"[79, 21, 15, 185]",0.8788,0.88,300
15,0.9167,0.9175,64.12,"[92, 8, 17, 183]",0.9201,0.9167,300
