Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,45.88750000000002,53.45,27.2,1011.1097301136364,1076.15234375,739.57421875,2956.5024857954545,3471.73828125,2814.8046875
2,48.94305555555557,52.45,39.225,1329.8315972222222,1331.84765625,1298.76171875,1789.5755208333333,1877.9453125,1780.08203125
3,49.158333333333346,53.7,24.475,1367.011935763889,1371.13671875,1341.078125,1616.095486111111,1650.8203125,1608.64453125
4,49.125000000000014,52.725,42.2,1461.5264756944443,1511.484375,1371.46875,1454.2899305555557,1563.73046875,1398.62890625
5,45.157142857142865,53.45,0.25,1503.357142857143,1506.40234375,1502.36328125,1302.5243675595239,1410.17578125,1293.703125
6,47.06052631578949,52.475,19.975,1521.8229851973683,1522.1953125,1521.71875,1269.9440789473683,1271.91015625,1266.73046875
7,47.782692307692315,54.675,32.725,1529.4622896634614,1529.48828125,1529.421875,1253.5229867788462,1261.41015625,1250.59375
8,44.211718749999996,54.725,4.0,1521.43798828125,1525.25,1521.21875,1243.7969970703125,1246.3671875,1241.9453125
9,30.53653846153846,52.225,0.0,1523.60546875,1523.65234375,1523.58203125,1138.0391626602564,1163.3671875,1054.3125
10,46.15000000000001,56.9,0.5,1533.9947350543478,1537.29296875,1524.0,1097.2661345108695,1109.95703125,1088.36328125
11,45.566129032258054,58.65,27.45,1552.3298891129032,1555.875,1545.58203125,1044.292464717742,1057.03515625,1036.15625
12,46.846052631578964,53.475,1.0,1553.5287828947369,1555.42578125,1553.38671875,951.1138980263158,964.05859375,943.375
13,40.917857142857144,52.95,0.0,1544.560267857143,1544.66015625,1544.37890625,951.0727306547619,965.1484375,913.6328125
14,48.35434782608697,55.95,8.5,1544.6185461956522,1544.640625,1544.578125,972.168308423913,975.69921875,968.54296875
