Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.35,0.2013,48.11,"[100, 0, 195, 5]",0.7797,0.35,300
2,0.6867,0.6953,27.08,"[82, 18, 76, 124]",0.7552,0.6867,300
3,0.6667,0.5333,43.11,"[0, 100, 0, 200]",0.4444,0.6667,300
4,0.6667,0.5333,22.04,"[0, 100, 0, 200]",0.4444,0.6667,300
5,0.3333,0.1667,22.04,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,20.05,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.3333,0.1667,27.07,"[100, 0, 200, 0]",0.1111,0.3333,300
8,0.3333,0.1667,25.06,"[100, 0, 200, 0]",0.1111,0.3333,300
9,0.3333,0.1667,44.13,"[100, 0, 200, 0]",0.1111,0.3333,300
10,0.8867,0.8869,44.09,"[84, 16, 18, 182]",0.8873,0.8867,300
11,0.82,0.7974,33.07,"[46, 54, 0, 200]",0.8583,0.82,300
12,0.8967,0.8919,43.08,"[71, 29, 2, 198]",0.9057,0.8967,300
13,0.9,0.8956,27.07,"[72, 28, 2, 198]",0.9084,0.9,300
14,0.89,0.8839,43.08,"[68, 32, 1, 199]",0.9028,0.89,300
15,0.8867,0.8795,23.06,"[66, 34, 0, 200]",0.9031,0.8867,300
16,0.46,0.4,22.05,"[99, 1, 161, 39]",0.7769,0.46,300
17,0.55,0.5278,22.04,"[99, 1, 134, 66]",0.7983,0.55,300
18,0.9267,0.9263,22.04,"[87, 13, 9, 191]",0.9263,0.9267,300
