Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.72800000000001,48.95,9.725,932.97015625,981.9296875,644.48828125,3059.71234375,3608.4375,2961.62109375
2,36.55238095238095,48.2,0.0,1035.8448660714287,1038.10546875,1002.9375,2554.8312872023807,2659.296875,2531.63671875
3,45.34523809523811,49.8,24.975,1078.904017857143,1082.3984375,1050.140625,2373.9626116071427,2412.5625,2365.25
4,42.95568181818183,52.2,6.75,1213.4964488636363,1222.6484375,1078.38671875,2137.131036931818,2329.703125,2083.09375
5,44.3013888888889,47.7,22.225,1228.3101128472222,1228.5859375,1224.1328125,2053.4880642361113,2076.91015625,2047.69921875
6,44.77368421052633,48.925,39.45,1226.7025082236842,1228.5625,1224.5234375,2017.3227796052631,2037.30859375,2012.61328125
7,45.575,48.2,38.7,1228.685238486842,1228.91796875,1224.85546875,2013.868009868421,2017.84375,2010.9453125
8,45.619736842105276,48.45,37.95,1231.975740131579,1234.875,1224.875,2011.055509868421,2018.4921875,2007.59375
9,44.25227272727274,47.95,25.725,1234.995028409091,1235.2578125,1230.859375,1945.4401633522727,1951.953125,1941.68359375
10,43.6513157894737,47.7,24.475,1250.71484375,1251.484375,1237.7578125,1931.4806743421052,1948.41015625,1924.703125
11,22.076744186046522,48.2,0.0,1261.194222383721,1263.109375,1249.375,1903.4037063953488,1924.09765625,1898.82421875
12,43.0296875,46.925,22.475,1260.9404296875,1261.08984375,1259.02734375,1843.14306640625,1851.296875,1838.515625
13,43.20789473684211,47.7,1.5,1263.021792763158,1265.19921875,1258.984375,1834.3059210526317,1839.41015625,1830.9375
14,38.02857142857144,49.2,0.0,1260.7979910714287,1261.203125,1259.14453125,1837.689918154762,1843.421875,1833.41796875
15,23.317682926829274,50.125,0.0,1262.317615327381,1263.375,1259.1015625,1828.9548921130952,1834.4921875,1823.984375
16,43.73088235294119,48.2,24.975,1261.2113970588234,1261.35546875,1259.2890625,1827.1139705882354,1830.13671875,1824.4453125
17,33.70945945945945,48.2,14.675,1263.2061631944443,1263.3359375,1259.2734375,1817.810329861111,1827.40625,1780.53125
