Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.3333,0.1667,29.09,"[100, 0, 200, 0]",0.1111,0.3333,300
2,0.3333,0.1667,27.01,"[100, 0, 200, 0]",0.1111,0.3333,300
3,0.3333,0.1667,20.96,"[100, 0, 200, 0]",0.1111,0.3333,300
4,0.3333,0.1667,17.03,"[100, 0, 200, 0]",0.1111,0.3333,300
5,0.3333,0.1667,22.99,"[100, 0, 200, 0]",0.1111,0.3333,300
6,0.3333,0.1667,21.96,"[100, 0, 200, 0]",0.1111,0.3333,300
7,0.6333,0.6434,16.02,"[64, 36, 74, 126]",0.6731,0.6333,300
8,0.4633,0.4235,19.98,"[92, 8, 153, 47]",0.6949,0.4633,300
9,0.4433,0.3737,17.02,"[99, 1, 166, 34]",0.7721,0.4433,300
10,0.78,0.7863,21.97,"[91, 9, 57, 143]",0.8321,0.78,300
11,0.8267,0.8108,29.98,"[52, 48, 4, 196]",0.845,0.8267,300
12,0.8933,0.8911,22.03,"[77, 23, 9, 191]",0.8935,0.8933,300
13,0.9167,0.9173,23.95,"[91, 9, 16, 184]",0.9191,0.9167,300
