Round,Avg CPU (%),Peak CPU (%),Min CPU (%),Avg Memory (MB),Peak Memory (MB),Min Memory (MB),Avg Avail Mem (MB),Peak Avail Mem (MB),Min Avail Mem (MB)
1,41.167857142857144,54.85,7.0,1058.0255301339287,1148.84375,791.7109375,2534.6114676339284,2915.9609375,2222.56640625
2,45.296250000000015,52.175,20.475,1410.6810546875,1415.12109375,1374.0625,1372.6716796875,1489.3671875,1343.78125
3,44.10125000000001,50.225,33.725,1446.93046875,1455.2421875,1421.1953125,1139.5599609375,1249.6015625,1088.23046875
4,44.13068181818183,51.475,6.25,1519.1784446022727,1578.12890625,1453.19921875,988.1242897727273,1189.8828125,920.98046875
5,46.26447368421054,52.05,12.75,1588.9192023026317,1590.51953125,1574.4609375,710.6089638157895,725.21875,696.6875
6,31.857236842105266,55.475,0.0,1544.8366570723683,1547.89453125,1535.01171875,835.3206208881579,915.1640625,684.2265625
7,41.831521739130444,51.225,5.0,1544.269870923913,1544.37890625,1542.3125,776.0478940217391,863.4921875,713.73828125
8,47.807894736842115,51.45,33.7,1545.9611430921052,1546.19140625,1542.1328125,851.1192434210526,867.8125,836.80078125
9,40.657142857142865,51.725,0.0,1548.026599702381,1548.52734375,1542.47265625,744.957775297619,770.42578125,671.1015625
10,29.3724358974359,53.725,0.0,1561.5180288461538,1564.98046875,1548.51953125,554.0727163461538,637.04296875,442.984375
11,44.13020833333334,53.2,23.225,1569.3030598958333,1573.31640625,1558.4375,546.1155598958334,653.26171875,522.65625
12,46.11973684210528,53.2,27.475,1572.4198190789473,1574.4921875,1568.4921875,630.8020148026316,641.21484375,614.7578125
13,45.619736842105276,52.725,11.0,1570.8020148026317,1572.921875,1568.625,669.1299342105264,688.0546875,650.99609375
14,25.99551282051283,54.45,0.0,1578.7241586538462,1579.78515625,1575.73046875,534.1383213141025,608.52734375,368.265625
