Round,Accuracy,F1 Score,Round Duration (s),Confusion Matrix,Precision,Recall,Support
1,0.6567,0.5285,46.03,"[0, 100, 3, 197]",0.4422,0.6567,300
2,0.6567,0.5285,1.01,"[0, 100, 3, 197]",0.4422,0.6567,300
3,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
4,0.6567,0.5285,3.94,"[0, 100, 3, 197]",0.4422,0.6567,300
5,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
6,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
7,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
8,0.6567,0.5285,1.01,"[0, 100, 3, 197]",0.4422,0.6567,300
9,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
10,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
11,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
12,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
13,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
14,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
15,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
16,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
17,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
18,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
19,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
20,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
21,0.6567,0.5285,1.01,"[0, 100, 3, 197]",0.4422,0.6567,300
22,0.6567,0.5285,1.01,"[0, 100, 3, 197]",0.4422,0.6567,300
23,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
24,0.6567,0.5285,1.0,"[0, 100, 3, 197]",0.4422,0.6567,300
